ACCESSION_NUMBER	ID	ISSUER	ISSUERSIGNATURE	ISSUERTITLE
0001669191-23-000658	1	Rialto Trading Holdings LLC	Shari Noonan	CEO
0001781955-23-000008	1	Dome Audio Inc.	Ben White	Founder and CEO
0001669191-23-000655	1	Cust Corp.	Manuel Teixeira	Principal Executive Officer
0001669191-23-000656	1	Lightning Motors Corporation	Richard Hatfield	Principal Executive Officer
0001670254-23-000688	1	ClearingBid, Inc.	Matt Venturi	CEO & Founder
0001665160-23-001466	1	H. Mulligan Bespoke Libations Co.	Steve Luttmann	CEO
0001665160-23-001465	1	Manta Biofuel, Inc.	Christoper Jared Lindsay	Chief Executive Officer and Principal Financial Officer
0001747584-23-000032	1	CGB Green Liberty Notes LLC	Bryan Garcia	Duly Authorized
0001807734-23-000007	1	Barrett & Benitez Development	Brandi Barrett	Manager
0001665160-23-001464	1	Tapville Franchising Inc.	Joseph Tota	CEO, Sole Director
0001665160-23-001462	1	R3 Printing, Inc.	Paul Sieradzki	Director, Treasurer, Head of Product, Chief Executive Officer, and President
0001746059-23-000174	1	Cube Cowork, LLC	Tammira Lucas	Owner and CEO
0001746059-23-000173	1	Keko, Inc	Ashleigh Ferran	Owner and CEO
0001669191-23-000649	1	GenesisAI Corporation	Archil  Cheishvili	Principal Executive Officer
0001669191-23-000648	1	EarthGrid PBC	Troy Helming	Principal Executive Officer
0001669191-23-000645	1	Cutting Edge Superconductors, Inc.	Yong-Jihn Kim	Principal Executive Officer
0001983113-23-000001	1	Eat Gelat-oh LLC	Sierra Georgia	CEO
0001670254-23-000683	1	Painterland Sisters LLC	Hayley Painter	Co-Founder & Co-CEO
0001982185-23-000003	1	Let's Talk Money Channel Drop LLC	Joseph Hogue	Manager
0001934971-23-000001	1	Rose Sisters Chips	Ann Marcus	CEO
0001670254-23-000685	1	Vicky Cakes Pancake Mix, LLC	Christian Sargent	Co-Founder & CEO
0001982815-23-000001	1	Butter & Crumble LLC	Sophia Smith	Managing Member
0001983451-23-000001	1	Hella Bagels, LLC	Blake Hunter	President
0001669191-23-000642	1	Netwire LLC	Shannon Carmody Keyes	Principal Executive Officer
0001665160-23-001461	1	iHealthScreen, Inc.	Alauddin Bhuiyan	CEO, Chief Scientist, Sole Director
0001746059-23-000172	1	Parting Glass Hospitality	Tara Noble	Owner and CoFounder
0001840495-23-000004	1	American Stories Entertainment Inc.	Bob Cefail	CEO
0001747584-23-000031	1	Applied Bioplastics Corp.	Colin Ardern	President & COO
0001665160-23-001458	1	Drink Monday Inc.	Kenneth Allen Young	CEO
0001913453-23-000002	1	Roxi Fantasy Gaming LLC	Daniel Pitluk	CEO
0001670254-23-000681	1	Qnetic Corporation	Michael Pratt	Founder, CEO
0001746059-23-000171	1	Local Hand LLC	Michaela Flatley	Owner and Founder
0001669191-23-000638	1	Harvest Today, LLC	Rick Langille	Principal Executive Officer
0001670254-23-000677	1	ZTRUCKING GROUP CORP	Estifanos G	Founder / CTO
0001670254-23-000679	1	Whatzeatin, Inc.	Richard DeRose	Founder, CEO
0001665160-23-001456	1	DroneDek Corporation DBA Arrive	Daniel O Toole	CEO, Chairman
0001748441-23-000005	1	MODE MOBILE, INC.	Justin Michael Hines	General Counsel
0001970476-23-000004	1	RUNE HOLDINGS, LLC	Adam Wertz	Managing Member
0001669191-23-000634	1	HiveSkill LLC	Sophia Becker	Principal Executive Officer
0001669191-23-000633	1	ScanHash LLC	Robert Waterman	Principal Executive Officer
0001669191-23-000632	1	Travel.win, LLC	John (Ted) Mooney	Principal Executive Officer
0001669191-23-000631	1	OMNIPAD, INC.	Neil Epstein	Principal Executive Officer
0001978060-23-000001	1	FIRST STRING TECHNOLOGIES LLC	Barry W. Jones	Chief Executive Officer
0001670254-23-000676	1	Three Years Gone LLC	Taryn Kosviner	Producer
0001746059-23-000170	1	Rocky Butte Coffee Roasters, LLC	James Helms	Owner and Founder
0001982230-23-000002	1	Luma Resources, LLC	Robert Allen	Manager
0001746059-23-000169	1	CRAZY GOOD KITCHEN MIAMI LLC	Jose DeSouza	Owner and CoFounder
0001948385-23-000001	1	Mary & Joseph Movie, LLC	/s/ Steven Day	Owner
0001746059-23-000168	1	East End Books Boston Seaport, LLC	Jeffrey Peters	Owner and Founder
0001665160-23-001454	1	Atlas Inc.	Clinton Brown	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001665160-23-001453	1	EL HEMPE SPIRITS, INC.	Anthony Bash	CEO, Director and President
0001665160-23-001452	1	Fanbase Social Media, Inc.	Isaac Hayes III	CEO, President, Secretary, Treasurer, Director
0001665160-23-001451	1	Recycline Inc	Eric Hudson	CEO, President, Treasurer, Clerk, Director
0001956001-23-000004	1	LiveRetail, Inc	Chris Cupero	President and Chief Executive Officer
0001981949-23-000001	1	Bad Walter's LLC	Sydney Arkin	Managing Member
0001981629-23-000001	1	Baton Roux LLC	Alexis Williams	CEO
0001801610-23-000001	1	Pure Green Franchise Corp	Ross Franklin	Chief Executive Officer
0001977849-23-000002	1	Las Vegas Spaceport, Inc.	Robert Lauer	CEO
0001665160-23-001449	1	ABH Holdco, Incorporated	Scott Hansen	CEO and Principal Financial Executive
0001926638-23-000001	1	Thriving Design, PBC	Jessica Tungesvick	CPA
0001665160-23-001450	1	Hidden Sands Brewing Company, Inc.	Matthew Helm	CEO, Director
0001665160-23-001447	1	River Glen Cocktails, Inc.	Brendan Feeley	CEO, Principal Accounting Officer, Sole Director
0001665160-23-001445	1	AEV Charging Inc.	Eugene Arutyunyan	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001942554-23-000003	1	CoContest Inc.	Alessandro Rossi	Chief Executive Officer
0001942554-23-000002	1	CoContest Inc.	Alessandro Rossi	Chief Executive Officer
0001665160-23-001444	1	BELLA RIO CONSULTING, INC	Andrew Roiniotis	Vice President, Director and Principal Accounting Officer
0001747584-23-000030	1	CGB Green Liberty Notes LLC	Bryan Garcia	Duly Authorized
0001665160-23-001443	1	Brobe International, Inc.	Cynthia Allison Jenkins Schickel	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-23-001442	1	Voltaic Marine, Inc.	Richard Hau Phamdo	CEO, CFO, Secretary, Director
0001870374-23-000006	1	PBV HOLDINGS, INC.	Nathan McLaughlin	CEO
0001981637-23-000002	1	Mayas Modern LLC	Russell Birk	CEO
0001665160-23-001441	1	BuildClub, Inc.	Stephen Forte	Founder, CEO, Sole Director and principal accounting officer
0001665160-23-001440	1	Future Cardia, Inc.	Jaeson Bang	CEO, Founder, Secretary, Treasurer, principal accounting officer, and Director
0001915810-23-000003	1	CreativeHomies HQ LLC	Cyrus Coleman	Managing member of the Manager, Creative Homies, LLC
0001981637-23-000001	1	Southeastern Roastery LLC	Candice Schibli	CEO
0001979172-23-000001	1	Martoni's Fire Baked Pizza LLC	Martin Madden	CEO
0001670254-23-000671	1	GenoEmote LLC, DBA Meta-Brain Labs	Alexandrea Day	CEO & Founder
0001670254-23-000672	1	Mother Kombucha LLC	Tonya Donati	Founder/CEO
0001670254-23-000669	1	I've Got A Bad Feeling LLC	Matt Enlow	Writer/Director
0001973422-23-000009	1	Korion Health Inc.	Anna Li	CEO
0001746059-23-000167	1	Miss Prissy's LLC	Dreamer Glen	Owner and Founder
0001746059-23-000166	1	Rule G Brewing Company, LLC	Ralph Rapa	Owner and Founder
0001746059-23-000165	1	Stick Figure Provisions LLC	Todd Andrews	Managing Partner
0001669191-23-000625	1	Adaptive Holdings, LLC	Scott Kauffman	Principal Executive Officer
0001669191-23-000626	1	CliqRex Inc.	James  O'Loughlin	Principal Executive Officer
0001746059-23-000164	1	Greens Gone Wild LLC	Laura Harris	Founder and CEO
0001746059-23-000163	1	Sol's Barcade, LLC	Cameron Carlotti	Owner and President
0001973422-23-000008	1	Korion Health Inc.	Anna Li	CEO
0001669191-23-000621	1	Believe Hotel Group US, Inc.	Vaughan Nicholls	Principal Executive Officer
0001970234-23-000001	1	HueDx, Inc.	Mark Wingertzahn	Chief Executive Officer
0001670254-23-000667	1	Bluon, Inc.	Nick Jaros	Chief Financial Officer
0001670254-23-000665	1	Foonka, Inc	Gosia Dziembaj	CEO & designer
0001980694-23-000001	1	White Label Chocolate Corp.	Stephen Beaumier	CEO
0001980694-23-000002	1	Hippos & Hashbrowns LLC	Sandra Daniels	President
0001665160-23-001438	1	AVACEN, Inc.	Anthony Peter Shimkin	CEO, President, Director
0001670254-23-000663	1	Dockshare, Inc	Nate Young	Co-founder and CEO
0001670254-23-000661	1	Long Drive to Yadkin LLC	Parrish Stikeleather	Writer / Director
0001665160-23-001437	1	Splash Wines, Inc.	Robert Mackay Imeson	CEO and Founder, Director
0001669191-23-000617	1	Kaptain, Inc.	Kirk Magnuson	Principal Executive Officer
0001669191-23-000616	1	Fierce & Kind Ltd.	Basem Harb	Principal Executive Officer
0001961056-23-000001	1	Lucky Carrot Inc.	Sergey Asatryan	Director
0001669191-23-000615	1	Be One Sports, Inc.	Scott Deans	Principal Executive Officer
0001978630-23-000003	1	Nunbelievable, Inc.	Bryan Janeczko	Chief Executive Officer
0001973353-23-000003	1	Redcrest LLC	Adam Volk	Managing Member
0001665160-23-001436	1	Origo Brands, Inc.	David C. Cisneros	Chief Executive Officer
0001829335-23-000002	1	Mod Tech Labs Inc	Alexandria Porter	Chief Executive Officer
0001746059-23-000162	1	Flourish & Foundry Co.	Marcus Hamblin	Owner and CEO
0001665160-23-001434	1	Eli Electric Vehicles, Inc.	Binhan (Marcus) Li	Founder, CEO, Director
0001665160-23-001433	1	Truleo, Inc	Anthony Michael Tassone	CEO, principal accounting officer, Director
0001665160-23-001432	1	Howloo, Inc.	John Dos Santos	CEO, Founder and Director
0001821982-23-000011	1	Trade Street Social LLC	Bryan Beal	Managing Partner
0001937156-23-000001	1	TeamUp Money, Inc.	Alan Akina	Chief Executive Officer
0001669191-23-000611	1	Doich Foods, LLC	Anthony Scialdone	Principal Executive Officer
0001968645-23-000004	1	e-States PropTech Inc	/s/ Matthew Schneider	CEO
0001665160-23-001427	1	Spirit Hoods Inc	Chase Hamilton	CEO, Officer
0001670254-23-000658	1	FirmTech, Inc.	Elliot Justin	CEO
