ACCESSION_NUMBER	ISAMENDMENT	PROGRESSUPDATE	NATUREOFAMENDMENT	NAMEOFISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	ISSUERWEBSITE	COMPANYNAME	ISCOISSUER	COMMISSIONCIK	COMMISSIONFILENUMBER	CRDNUMBER
0001670254-21-000402	1		Adding 2020 CPA-reviewed GAAP financials and extending offering.	AKT Pictures LLC	Limited Liability Company		CA	2018-03-14	4329 Van Nuys Blvd. Suite 5		Sherman Oaks	CA	91403	http://en.aktpictures.com	Wefunder Portal LLC	N	0001670254	007-00033	283503
0001665160-21-000400	1		Adding non-material transcripts	Greenberry's Coffee Roasters, Inc.	Corporation		DE	2021-02-05	1610 Quail Run		Charlottesville	VA	22911	https://greenberrys.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001831322-21-000003	0			VISPIRI Inc.	Corporation		DE	2019-02-14	1768 E. 25TH ST		CLEVELAND	OH	44114	www.clevelandwhiskey.com		N			
0001665160-21-000399	0	GroGuru raised $1,070,000.00 in Convertible Notes		GroGuru, Inc.	Corporation		DE	2014-06-17	4250 EXECUTIVE SQUARE	SUITE 200	LA JOLLA	CA	92037	https://www.groguru.com/	Wefunder Portal LLC	N	0001670254	007-00033	283503
0001746059-21-000139	0			Cocoa & Butter LLC	Limited Liability Company		CA	2021-02-04	2363 HAGGERTY DR		DUBLIN	CA	94568	http://cocoaandbutter.com	MainVest, Inc.	N	0001746059	007-00162	
0001669191-21-000330	0		issuer extended the offering date.	RedOak Instruments, LLC	Limited Liability Company		TX	2008-10-01	21218 Kingsland Blvd		Katy	TX	77450	www.redoakinstruments.com	NetCapital Funding Portal Inc.	N	0001669191	007-00035	283596
0001665160-21-000396	0			Greenberry's Coffee Roasters, Inc.	Corporation		DE	2021-02-05	1610 Quail Run		Charlottesville	VA	22911	https://greenberrys.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001837254-21-000003	0	Currently, HT Naturals Inc. has sold 193,157.57 securities at $1.40 per share, resulting in a total raise that has cleared escrow at this time of $270,420.60 and is closing an intermediate close.		HT Naturals Inc.	Corporation		DE	2020-11-19	8605 Santa Monica Blvd		West Hollywood	CA	90069	http://www.hemptownusa.com	Title3Funds	N	0001685995	007-00083	286035
0001665160-21-000394	0			Innovative Eyewear, Inc.	Corporation		FL	2019-08-15	66 W Flagler St. Suite 900		Miami	FL	33130	lucyd.co		N			
0001837254-21-000002	0	Currently, HT Naturals Inc. has sold 193,157.57 securities at $1.40 per share, resulting in a total raise that has cleared escrow at this time of $270,420.60 and is closing an intermediate close.		HT Naturals Inc.	Corporation		DE	2020-11-19	8605 Santa Monica Blvd		West Hollywood	CA	90069	http://www.hemptownusa.com	Title3Funds	N	0001685995	007-00083	286035
0001670254-21-000399	1		Adding 2020 financials	Cedar, Inc.	Corporation		DE	2020-05-18	538 90th Ave		Luverne	MN	56156	https://www.cedarcreditbuilder.com	Wefunder Portal LLC	N	0001670254	007-00033	283503
0001827424-21-000003	0		Updated Financial Statements and Business Model Additions	C3 Capital, Inc.	Corporation		CO	2020-01-30	P.O. BOX 216		KOHLER	WI	53044	www.C3Bullion.com	FIRST DEMOCRACY VC	N	0001683054	007-00076	285360
0001782749-21-000001	0			Tallyfy, Inc.	Corporation		DE	2014-08-18	911 WASHINGTON AVENUE	SUITE 501	ST. LOUIS	MO	63101	https://www.tallyfy.com		N			
0001669191-21-000328	0		issuer extended the offering date.	ACK Right Endeavors LLC	Limited Liability Company		CA	2017-07-01	24 1/2 Northstar Street		Marina Del Rey	CA	90292-6709	greenboxRobotics.com	NetCapital Funding Portal Inc.	N	0001669191	007-00035	283596
0001665160-21-000392	0		Issuer is lowering their minimum investment amount.	Learnt Corporation	Corporation		DE	2020-04-20	3111 Avenue R.		Galveston	TX	77550	https://learnt.io	StartEngine Capital, LLC	N	0001665160	007-00007	
0001666102-21-000003	1		Changes in principal securities holders, directors, and officers of the company.	Lucas & Friend Land Holdings, LLC	Limited Liability Company		WY	2019-11-22	172 CENTER STREET, STE 202		JACKSON	WY	83001	https://lucasfriend.com	Mr. Crowd	N	0001666102	007-00042	284278
0001821982-21-000001	0			ALBEMARLE HOTEL DEVELOPMENT, LLC	Limited Liability Company		NC	2017-12-19	222 Ray Avenue	Suite 200	FAYETTEVILLE	NC	28301	https://www.anchorandpillar.com/	Vicinity LLC	Y	0001798542	007-00223	307772
0001670254-21-000398	1		Adding a lead investor	XCINEX CORPORATION	Corporation		MD	2012-08-29	902 Mossbridge Court		Pleasant Hil	CA	94523	https://www.xcinex.com	Wefunder Portal LLC	N	0001670254	007-00033	283503
0001670254-21-000397	1		Naming the Lead Investor, extending the close date.	SFO84, Inc	Corporation		DE	2014-03-25	584 Castro Street		San Francisco	CA	94114	https://www.misterbandb.com	Wefunder Portal LLC	N	0001670254	007-00033	283503
0001795615-21-000001	0		Extending offering deadline	Hemp Real Estate Investments, Inc.	Corporation		GA	2019-08-31	400 WEST PEACHTREE STREET NW		ATLANTA	GA	30308	hemprealestateinvestmentsinc.com	truCrowd, Inc	N	0001667145	007-00015	283063
0001665160-21-000389	1		Issuer is adding new financial statements.	Innovative Eyewear, Inc.	Corporation		FL	2019-08-15	66 W Flagler St. Suite 900		Miami	FL	33130	lucyd.co	StartEngine Capital, LLC	N	0001665160	007-00007	
0001852116-21-000001	1		Update to target end date	Hideawayco LLC	Limited Liability Company		PA	2020-08-27	1245 MURDOCH RD		PITTSBURGH	PA	15217	https://www.hideawayco.com/ourteam	Honeycomb Portal LLC	N	0001705726	007-00119	289015
0001817438-21-000001	0		Extending the offering deadline	Raindrop Texting Solutions, Inc	Corporation		UT	2017-06-07	10742 N SHINNECOCK		CEDAR HILLS	UT	84062	raindroptext.com	truCrowd, Inc	N	0001667145	007-00015	283063
