ACCESSION_NUMBER	ID	ISSUER	ISSUERSIGNATURE	ISSUERTITLE
0001670254-21-000402	1	AKT Pictures LLC	Akemi Tosto	Executive Producer/Writer/Director
0001665160-21-000400	1	Greenberry's Coffee Roasters, Inc.	Sean Simmons	President, CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001831322-21-000003	1	VISPIRI Inc.	Reese Edwards	CFO
0001665160-21-000399	1	GroGuru, Inc.	Patrick Henry	President and CEO
0001746059-21-000139	1	Cocoa & Butter LLC	Fouzia Rafae	Owner and Founder
0001669191-21-000330	1	RedOak Instruments, LLC	Richard Behlmann	Principal Executive Officer
0001665160-21-000396	1	Greenberry's Coffee Roasters, Inc.	Sean Simmons	President, CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001837254-21-000003	1	HT Naturals Inc.	Zayn Kalyan	President
0001665160-21-000394	1	Innovative Eyewear, Inc.	Harrison Gross	CEO, Principal Executive Officer, Director
0001837254-21-000002	1	HT Naturals Inc.	Zayn Kalyan	President
0001670254-21-000399	1	Cedar, Inc.	Adam Finke	CEO & Co-Founder
0001827424-21-000003	1	C3 Capital, Inc.	Martin Gallon	CEO and Director
0001782749-21-000001	1	Tallyfy, Inc.	Amit Kothari	Chief Executive Officer
0001669191-21-000328	1	ACK Right Endeavors LLC	Jack McDaniel	Principal Executive Officer
0001665160-21-000392	1	Learnt Corporation	Andrew Nimmich	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001666102-21-000003	1	Lucas & Friend Land Holdings, LLC	Adam Brandley	Chairman
0001821982-21-000001	1	ALBEMARLE HOTEL DEVELOPMENT, LLC	Jordan Jones	Manager
0001670254-21-000398	1	XCINEX CORPORATION	Cihan Fuat Atkin	Founder & CEO
0001670254-21-000397	1	SFO84, Inc	Matthieu Jost	CEO
0001795615-21-000001	1	Hemp Real Estate Investments, Inc.	Tariq Khan by Sean Fuellhart POA	CEO
0001665160-21-000389	1	Innovative Eyewear, Inc.	Harrison Gross	CEO, Principal Executive Officer, Director
0001852116-21-000001	1	Hideawayco LLC	Anna Baird	Owner
0001817438-21-000001	1	Raindrop Texting Solutions, Inc	Mike Brown by Sean Fuellhart POA	Partner
