ACCESSION_NUMBER	ID	PERSONSIGNATURE	PERSONTITLE	SIGNATUREDATE
0001665160-21-001768	1	Cody Alfar	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-09-30
0001823177-21-000007	1	Jenna Hua	President	2021-09-30
0001665160-21-001766	1	Micah Bergdale	CEO/Director	2021-09-30
0001746059-21-000483	1	Sharon Russell	Owner and CoFounder	2021-09-30
0001746059-21-000483	2	Christopher Russell	Owner and CoFounder	2021-09-30
0001670254-21-001101	1	Ugochukwu Leo Nduaguba	Partner	2021-09-13
0001670254-21-001101	2	Diego Lara	Director	2021-09-10
0001670254-21-001101	3	Ian Balina	Chief Executive Officer	2021-09-10
0001665160-21-001764	1	Ryan Bove	CEO, Principal Financial Officer, and Manager	2021-09-30
0001665160-21-001764	4	Ted Hobart  Personal	Director	2021-09-30
0001665160-21-001764	3	Brian Scott	Director	2021-09-30
0001665160-21-001764	2	Doug Foster	Manager	2021-09-30
0001670254-21-001099	1	Phil Martie	CEO	2021-09-15
0001665160-21-001763	1	Karl Loepke	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2021-09-30
0001665160-21-001759	1	Maximillian David Kovtun	President/Director	2021-09-30
0001665160-21-001760	1	Karl Loepke	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2021-09-30
0001670254-21-001096	1	Yannis Moati	CEO	2021-09-26
0001665160-21-001754	1	Archil Cheishvili	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-09-30
0001665160-21-001751	2	Todd Wright	Co-CEO, Director, Principal Financial Officer and Principal Accounting Officer	2021-09-30
0001665160-21-001751	1	Al McLean	Co-CEO, Director	2021-09-30
0001669191-21-000985	4	Sean Adler	Board Member	2021-09-30
0001669191-21-000985	3	Sean Adler	Principal Accounting Officer	2021-09-30
0001669191-21-000985	2	Sean Adler	Principal Financial Officer	2021-09-30
0001669191-21-000985	1	Sean Adler	Principal Executive Officer	2021-09-30
0001665160-21-001749	1	Ronald Jeffery Arnold	President, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-09-30
0001665160-21-001747	1	Zane Lamprey	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2021-09-30
0001746059-21-000482	1	John Fredericks	Owner and Founder	2021-09-30
0001665160-21-001743	1	Shakti Jauhar	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-09-30
0001665160-21-001740	1	Michael Williston	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-09-28
0001665160-21-001739	1	Rhett Ross	CEO, Principal Executive Officer and Director, Principal Financial Officer, and Principal Accounting Officer	2021-09-30
0001670254-21-001089	1	Rachel Mastrangelo	Vice president	2021-09-23
0001670254-21-001089	2	Don Mastrangelo	Founder | CEO	2021-09-23
0001665160-21-001729	1	Zane Lamprey	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2021-09-29
0001670254-21-001093	1	Vicki O'Brien	CEO/Producer	2021-09-27
0001665160-21-001733	1	Rhett Ross	Principal Executive Officer	2021-09-29
0001670254-21-001092	2	Joseph De Perio	Co-Founder/Executive Chairman of the Board	2021-09-23
0001670254-21-001092	1	Nicole Johnson	Co-Founder	2021-09-23
0001665160-21-001735	1	Mendel Bassman	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-09-29
0001669191-21-000980	6	Robbie DeBarros	Board Member	2021-09-29
0001669191-21-000980	5	Glen DeBarros	Board Member	2021-09-29
0001669191-21-000980	4	Gerardo  Melendrez	Board Member	2021-09-29
0001669191-21-000980	3	Robbie DeBarros	Principal Accounting Officer	2021-09-29
0001669191-21-000980	2	Robbie DeBarros	Principal Financial Officer	2021-09-29
0001669191-21-000980	1	Glen DeBarros	Principal Executive Officer	2021-09-29
0001665160-21-001728	1	Vipin Jain	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2021-09-29
0001746059-21-000481	1	Hazel Lebron	Owner and Founder	2021-09-29
0001665160-21-001726	1	Archil Cheishvili	CEO	2021-09-29
0001665160-21-001725	1	Sean Simmons	President, CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-09-29
0001805743-21-000004	1	/s/ Joseph Keenan Smith	Owner, CEO	2021-09-29
0001683168-21-004587	1	/s/ Barry Schofield	Founder and Manager	2021-09-29
0001669191-21-000977	4	Luke Hohmann	Board Member	2021-09-29
0001669191-21-000977	3	Luke Hohmann	Principal Accounting Officer	2021-09-29
0001669191-21-000977	2	Luke Hohmann	Principal Financial Officer	2021-09-29
0001669191-21-000977	1	Luke Hohmann	Principal Executive Officer	2021-09-29
0001669191-21-000975	6	Bruce  Weber	Board Member	2021-09-29
0001669191-21-000975	4	Dennis  Dresser	Board Member	2021-09-29
0001669191-21-000975	5	Xugang Li	Board Member	2021-09-29
0001669191-21-000975	3	Bruce  Weber	Principal Accounting Officer	2021-09-29
0001669191-21-000975	2	Bruce  Weber	Principal Financial Officer	2021-09-29
