ACCESSION_NUMBER	ISAMENDMENT	PROGRESSUPDATE	NATUREOFAMENDMENT	NAMEOFISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	ISSUERWEBSITE	COMPANYNAME	ISCOISSUER	COMMISSIONCIK	COMMISSIONFILENUMBER	CRDNUMBER
0001665160-22-003147	0			Vorsheer INC															
0001665160-22-003146	0			Yubi Health, Inc.	Corporation		DE	2019-01-28	2550 W. UNION HILLS DR SUITE 350-1489	SUITE 350-1489	PHOENIX	AZ	85027	https://yubihealth.com/		N			
0001665160-22-003145	0			Baqua Inc.	Corporation		DE	2016-03-28	325 W MAIN ST SUITE 300	SUITE 300	LEXINGTON	KY	40507	www.baqua.com		N			
0001746059-22-000440	1		Intermediary is amending a typographical error on the offering memorandum and note agreement.	Coastal Roots LLC	Limited Liability Company		MA	2020-07-01	112 WINTER ST		HANSON	MA	02341	http://coastalrootscannabis.com	MainVest, Inc.	N	0001746059	007-00162	
0001527854-22-000006	1		Amendment to Offering Statement: Change in Valuation Cap.	Brooklyn Craft Works LLC	Limited Liability Company		FL	2011-12-09	316 DOUGLASS STREET		BROOKLYN	NY	11217	https://www.brooklyngin.com/	OpenDeal Portal LLC	N	0001751525	007-00167	283874
0001746059-22-000439	0			Coastal Roots LLC	Limited Liability Company		MA	2020-07-01	112 WINTER ST		HANSON	MA	02341	http://coastalrootscannabis.com	MainVest, Inc.	N	0001746059	007-00162	
0001958652-22-000001	0			T. Loren Studio Inc.	Corporation		IL	2007-12-18	3520 SEVEN BRIDGES DR,	STE 115	WOODRIDGE	IL	60517	www.tlorenstudio.com	Honeycomb Portal LLC	N	0001705726	007-00119	289015
0001958996-22-000001	0			Golightly, Inc.	Corporation		DE	2018-08-27	1835 E. HALLANDALE BEACH BLVD	STE. 351	HALLANDALE	FL	33009	https://www.wegolightly.com	OpenDeal Portal LLC	N	0001751525	007-00167	283874
0001931543-22-000007	0	The Offering closed successfully on 12/29/2022, having received investment commitments of $135,200, although a final accounting has not taken place.		Choix, Inc.	Corporation		CA	2020-09-03	1299 FOURTH STREET	SUITE 202E	SAN RAFAEL	CA	94901	https://mychoix.co	OpenDeal Portal LLC	N	0001751525	007-00167	283874
0001821982-22-000017	1		Amend offering deadline, minimum investment amount, target offering amount, add investment perks/bonus units, updated use of funds, and updated debt schedule.	North Cove Holdings, LLC	Limited Liability Company		NC	2021-12-02	210 BLUE RIDGE DR. N.		MARION	NC	28752	thenorthcove.com	Vicinity LLC	Y	0001798542	007-00223	307772
0001665160-22-003144	0			Makani Science Inc.	Corporation		DE	2018-03-26	5270 California Ave Ste 300		Irvine	CA	92617	http://www.makaniscience.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001911149-22-000001	0			JuneBrain Inc.	Corporation		DE	2019-07-30	875 HOLLINS STREET	SUITE 102	BALTIMORE	MD	21201	https://www.junebrain.com/	OpenDeal Portal LLC	N	0001751525	007-00167	283874
