ACCESSION_NUMBER	ID	PERSONSIGNATURE	PERSONTITLE	SIGNATUREDATE
0001670254-21-000402	1	Akemi Tosto	Executive Producer/Writer/Director	2021-03-29
0001665160-21-000400	1	Sean Simmons	President, CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-03-31
0001831322-21-000003	1	Reese Edwards	CFO	2021-03-31
0001831322-21-000003	4	Don Coffey	Chief Science Officer / Director	2021-03-31
0001831322-21-000003	3	Kevin  Cash	Director	2021-03-31
0001831322-21-000003	2	Tom Lix	CEO	2021-03-31
0001665160-21-000399	1	Patrick Henry	President and CEO	2021-03-31
0001665160-21-000399	2	Farooq Anjum	CTO	2021-03-31
0001746059-21-000139	1	Fouzia Rafae	Owner and Founder	2021-03-31
0001669191-21-000330	3	Richard Behlmann	Board Member	2021-03-31
0001669191-21-000330	2	Richard Behlmann	Principal Financial Officer	2021-03-31
0001669191-21-000330	1	Richard Behlmann	Principal Executive Officer	2021-03-31
0001665160-21-000396	1	Sean Simmons	President, CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-03-30
0001837254-21-000003	1	Zayn Kalyan	President	2020-12-24
0001665160-21-000394	2	Konrad Dabrowski	CFO, Principal Financial Officer, Principal Accounting Officer	2021-03-30
0001665160-21-000394	1	Harrison Gross	CEO, Principal Executive Officer, Director	2021-03-30
0001837254-21-000002	1	Zayn Kalyan	President	2020-12-24
0001670254-21-000399	1	George Ulmer	CTO	2021-03-30
0001670254-21-000399	2	Adam Finke	CEO & Co-Founder	2021-03-30
0001827424-21-000003	1	Christopher Werner	CFO and Secretary	2021-03-30
0001782749-21-000001	2	Pravina Pindoria	Chief Operating Officer	2021-03-30
0001782749-21-000001	1	Amit Kothari	Chief Executive Officer	2021-03-30
0001669191-21-000328	4	Kevin Donahue	Board Member	2021-03-30
0001669191-21-000328	5	Jack McDaniel	Board Member	2021-03-30
0001669191-21-000328	6	Jackey  Lee	Board Member	2021-03-30
0001669191-21-000328	2	Jack McDaniel	Principal Financial Officer	2021-03-30
0001669191-21-000328	3	Jack McDaniel	Principal Accounting Officer	2021-03-30
0001669191-21-000328	1	Jack McDaniel	Principal Executive Officer	2021-03-30
0001665160-21-000392	1	Andrew Nimmich	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-03-30
0001666102-21-000003	1	Adam Brandley	Chairman	2021-03-29
0001821982-21-000001	1	Jordan Jones	Manager	2021-03-30
0001670254-21-000398	6	Charles Wingate	CFO & Treasurer	2021-03-12
0001670254-21-000398	1	Ahmet Cinar	Mr.	2021-03-14
0001670254-21-000398	3	Rajeev Prasad	Board Member	2021-03-12
0001670254-21-000398	2	James R. Sauer	Board Member	2021-03-13
0001670254-21-000398	4	Don Tannnenbaum	Co-Founder, EVP	2021-03-12
0001670254-21-000398	5	James Garcia	CTO, COO, Secretary	2021-03-12
0001670254-21-000398	7	Cihan Fuat Atkin	Founder & CEO	2021-03-12
0001670254-21-000397	1	Francois de landes de saint palais d'aussac	COO	2021-03-25
0001670254-21-000397	2	Mr. Marc Dedonder	CCO	2021-03-25
0001670254-21-000397	3	Matthieu Jost	CEO	2021-03-25
0001795615-21-000001	1	Tariq Khan by Sean Fuellhart POA	CEO	2021-03-30
0001665160-21-000389	2	Konrad Dabrowski	CFO, Principal Financial Officer, Principal Accounting Officer	2021-03-30
0001665160-21-000389	1	Harrison Gross	CEO, Principal Executive Officer, Director	2021-03-30
0001852116-21-000001	1	Anna Baird	Owner	2021-03-30
0001817438-21-000001	1	Mike Brown by Sean Fuellhart POA	Partner	2021-03-30
0001670254-21-000394	2	Ronak Vyas	CEO	2021-03-29
0001670254-21-000394	1	Anthony A Khan	CFO	2021-03-29
0001670254-21-000392	1	Anna Matilde Tanga	Vice-President & COO	2021-03-29
0001665160-21-000385	1	Tina Cheng	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-03-29
0001820404-21-000005	1	Roy Scott	Chief Executive Officer	2021-03-29
0001665160-21-000387	1	Ashi Jelinek	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-03-29
0001798365-21-000001	1	Neal Aronson	CEO	2021-03-29
0001670254-21-000392	2	Brian Bristol	Founder & CTO	2021-03-29
0001665160-21-000386	1	Lior David	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-03-29
0001745548-21-000001	1	Theodore Lee	Co-founder & CEO	2021-03-29
0001670254-21-000391	1	Richard Ohrn	Chief Financial Officer	2021-03-26
0001670254-21-000391	2	Dan O'Toole	Chairman and CEO at DRONEDEK Corporation	2021-03-26
0001746059-21-000138	1	Joseph Breda	Founder	2021-03-29
0001665160-21-000384	1	Dr. Ahmad Glover	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-03-29
0001665160-21-000383	1	Panagiotis Moutafis, Ph.D.	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-03-29
0001665160-21-000382	1	Reza Khademi	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-03-29
0001669191-21-000326	2	Paul Inglese	Board Member	2021-03-29
0001669191-21-000326	1	Paul Inglese	Principal Executive Officer	2021-03-29
0001669191-21-000326	3	Dwaine Parker	Board Member	2021-03-29
0001746059-21-000137	1	Kuumba Smith	Owner and Founder	2021-03-29
0001669191-21-000324	6	Ryan Gresh	Board Member	2021-03-29
0001669191-21-000324	1	Ryan Gresh	Principal Executive Officer	2021-03-29
0001669191-21-000324	2	Ryan Gresh	Principal Financial Officer	2021-03-29
0001669191-21-000324	3	Ryan Gresh	Principal Accounting Officer	2021-03-29
0001669191-21-000324	4	CJ Forse	Board Member	2021-03-29
0001669191-21-000324	5	Kyle Fitzpatrick	Board Member	2021-03-29
0001213900-21-018234	1	/s/ Parth Amin	Co-founder and Chief Operating Officer	2021-03-29
0001213900-21-018234	2	/s/ Randy Berholtz	Director	2021-03-29
0001669191-21-000322	2	Roger Wu	Principal Financial Officer	2021-03-29
0001669191-21-000322	4	Roger Wu	Board Member	2021-03-29
0001669191-21-000322	3	Roger Wu	Principal Accounting Officer	2021-03-29
0001669191-21-000322	1	Roger Wu	Principal Executive Officer	2021-03-29
0001746059-21-000136	1	Michael Robinson	Owner and Founder	2021-03-29
0001670254-21-000388	2	Joseph Krystofik	CEO / President	2021-03-24
0001670254-21-000388	1	Kenneth Krystofik	VP of Client Success	2021-03-24
0001670254-21-000386	2	Shawn Ramer	Chief Scientific Officer	2021-03-19
0001670254-21-000386	4	Mark How	CRO	2021-03-18
0001670254-21-000386	3	James Schmachtenberger	CEO	2021-03-18
0001670254-21-000386	5	Hakan Lindskog	Chief Operating Officer	2021-03-18
0001670254-21-000386	1	R. Jordan Hall	Executive Chairman	2021-03-22
0001830570-21-000001	2	Aysegul Berenson	CFO	2021-03-29
0001830570-21-000001	3	David B Irons	COO	2021-03-29
0001830570-21-000001	1	James R Varner	President and CEO	2021-03-29
0001746059-21-000135	1	Craig Panzer	Owner and CoFounder	2021-03-29
0001665160-21-000377	1	Sean Hacking	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-03-28
0001669191-21-000319	5	Brian Tinney	Board Member	2021-03-26
0001669191-21-000319	4	Matthew Smart	Board Member	2021-03-26
0001669191-21-000319	3	Brian Tinney	Principal Accounting Officer	2021-03-26
0001669191-21-000319	2	Matthew Smart	Principal Financial Officer	2021-03-26
0001669191-21-000319	1	Brian Tinney	Principal Executive Officer	2021-03-26
0001665160-21-000375	1	Andrew Yakub	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-03-26
0001845327-21-000001	1	Caroline Beckman	Founding Member & CEO	2021-03-26
0001670254-21-000384	2	Cynthia Chioma NWAUBANI	Chief Executive Officer	2021-03-24
0001670254-21-000384	1	Trang Flores	COO/CTO/CFO	2021-03-25
0001665160-21-000372	1	Daniel Mena	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-03-26
0001746059-21-000134	1	Jacob Gross	Owner and CoFounder	2021-03-26
0001746059-21-000133	1	Jeremy Hatch	Owner and CoFounder	2021-03-26
0001746059-21-000133	2	Nicholas Kocis	Owner and CoFounder	2021-03-26
0001669191-21-000317	3	Scott Murdoch	Principal Accounting Officer	2021-03-26
0001669191-21-000317	2	Scott Murdoch	Principal Financial Officer	2021-03-26
0001669191-21-000317	1	Scott Murdoch	Principal Executive Officer	2021-03-26
0001669191-21-000317	4	Scott Murdoch	Board Member	2021-03-26
0001669191-21-000315	4	James Buchanan	Board Member	2021-03-26
0001669191-21-000315	3	James Buchanan	Principal Accounting Officer	2021-03-26
0001669191-21-000315	2	James Buchanan	Principal Financial Officer	2021-03-26
0001669191-21-000315	1	James Buchanan	Principal Executive Officer	2021-03-26
0001746059-21-000132	1	Michael Fields	Owner and CoFounder	2021-03-26
0001845394-21-000003	2	/s/ Jonathan Meringer	Director	2021-03-26
0001845394-21-000003	1	/s/ Jan Peter Fuchs	Director	2021-03-26
0001845394-21-000003	3	/s/ Nathaniel Meringer	Director	2021-03-26
0001845394-21-000003	4	/s/ Gur Kimchi	Director	2021-03-26
0001665160-21-000369	1	Edward Vincent	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-03-26
0001827592-21-000001	1	Courtney Boyd Myers	CEO & Director	2021-03-26
0001827592-21-000001	2	Matt Lebo	CFO & Director	2021-03-26
0001669191-21-000313	6	Brian Spangle	Board Member	2021-03-26
0001669191-21-000313	5	Julianna  Smoot	Board Member	2021-03-26
0001669191-21-000313	3	Brian Spangle	Principal Accounting Officer	2021-03-26
0001669191-21-000313	4	Lonnie Johnson	Board Member	2021-03-26
0001669191-21-000313	1	Lonnie Johnson	Principal Executive Officer	2021-03-26
0001669191-21-000313	2	Julianna  Smoot	Principal Financial Officer	2021-03-26
0001665160-21-000364	2	John R. (Grizz) Deal	CEO, Principal Executive Officer and Director	2021-03-25
0001665160-21-000364	1	John Michael (Michael) Bell	Director	2021-03-25
0001850551-21-000001	1	Rafael Groswirt by Sean Fuellhart POA	CEO	2021-03-25
0001665160-21-000366	1	Ron L. Wilson, II	CEO, Principal Executive Officer and Director, Principal Financial Officer, and Principal Accounting Officer	2021-03-25
0001665160-21-000364	3	Randall (Randy) Wilson	CFO, Principal Financial Officer, Principal Accounting Officer and Director	2021-03-25
0001836185-21-000002	1	Keithian Sammons	Manager	2021-03-25
0001665160-21-000367	1	Kara Romanik	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-03-25
0001746059-21-000131	1	Rebecca Quisenberry	COO & CoFounder	2021-03-25
0001665160-21-000357	1	Jonathan E. Tourgee	CEO, Principal Executive Officer and Director	2021-03-25
0001746059-21-000130	2	Sharla Brown	Owner and CoFounder	2021-03-25
0001746059-21-000130	1	Sharaine Brown	Owner and CoFounder	2021-03-25
0001852943-21-000002	1	Paul Skillicorn	CEO	2021-03-25
0001844167-21-000006	1	Adrian E. Garcia	CEO	2021-02-17
0001746059-21-000129	2	Vincent Walton	Owner and CoFounder	2021-03-25
0001746059-21-000129	1	Ileana Acosta	Owner and CoFounder	2021-03-25
0001669191-21-000311	3	John Fanning Jr	Principal Accounting Officer	2021-03-25
0001669191-21-000311	1	John Fanning Jr	Principal Executive Officer	2021-03-25
0001669191-21-000311	4	John Fanning Jr	Board Member	2021-03-25
0001669191-21-000311	2	John Fanning Jr	Principal Financial Officer	2021-03-25
0001715007-21-000002	1	Seema Lindskog	CEO	2021-03-25
0001796412-21-000001	1	Raul Lacayo	CFO and Financial Director	2021-03-24
0001716822-21-000004	1	Richard Bronson	CEO and Director	2021-03-24
0001716822-21-000006	1	James Chapman	CEO, Director	2021-03-24
0001670254-21-000383	1	Tom Bancroft	CEO	2021-03-24
0001670254-21-000382	1	JOHN D RITCHISON	Chief Legal Counsel	2021-03-24
0001670254-21-000382	3	Dan O'Toole	Chairman and CEO at DRONEDEK Corporation	2021-03-24
0001670254-21-000382	2	Richard Ohrn	Chief Financial Officer	2021-03-24
0001830990-21-000001	1	Joseph Mohney	Manager	2021-03-24
0001746059-21-000128	1	Tomas Nenortas	Founder	2021-03-24
0001669191-21-000308	2	John  Adamson, Jr.,	Principal Financial Officer	2021-03-24
0001669191-21-000308	3	John  Adamson, Jr.,	Principal Accounting Officer	2021-03-24
0001669191-21-000308	4	Catherine Bryant	Board Member	2021-03-24
0001669191-21-000308	5	John  Adamson, Jr.,	Board Member	2021-03-24
0001669191-21-000308	6	Kathyrn Smith	Board Member	2021-03-24
0001669191-21-000308	1	John  Adamson, Jr.,	Principal Executive Officer	2021-03-24
0001665160-21-000353	1	Ian Eyberg	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-03-24
0001421744-21-000001	1	Anjun K. Bose	President	2021-03-24
