ACCESSION_NUMBER	ID	ISSUER	ISSUERSIGNATURE	ISSUERTITLE
0001665160-22-000598	1	HealthPoint Plus, Inc.	Robert A. Goddard	Chairman, Chief Executive Officer, President, Principal Financial Officer, Principal Accounting Officer and Director
0001665160-22-000596	1	Speranza Therapeutics, Inc.	Sal Rafanelli	President and CEO
0001669191-22-000316	1	Launchspace Technologies Corporation	John Bauman	Principal Executive Officer
0001665160-22-000594	1	Bemo Corporation	Daren Houtaling	CEO, Director
0001669191-22-000314	1	Accesr Inc.	Alan Rodriguez	Principal Executive Officer
0001746059-22-000131	1	Waldscraft LLC	Stacey Waldspurger	Owner and Founder
0001746059-22-000130	1	Waldscraft LLC	Stacey Waldspurger	Owner and Founder
0001670254-22-000272	1	Patek Myself Song, LLC	Miles Carroll	COO
0001669191-22-000311	1	ScanHash LLC	Robert Waterman	Principal Executive Officer
0001669191-22-000310	1	Deskless Workers Inc.	David Young	Principal Executive Officer
0001669191-22-000307	1	Unlocked Reality Inc.	Akash  Bellippady	Principal Executive Officer
0001669191-22-000306	1	Launchspace Technologies Corporation	John Bauman	Principal Executive Officer
0001755873-22-000002	1	VisuWall Technologies Inc. (f/k/a VisuWall Technologies, LLC)	Kobi Wu	Founder & CEO
0001665160-22-000593	1	HyperSciences, Inc.	Mark C. Russell	CEO (Chief Executive Officer) and Director
0001815955-22-000001	1	CTC Ventures, Inc.	Corey Lewis by Sean Fuellhart POA	CEO
0001890178-22-000002	1	The Renewable Snowmaking Company	Vittorio Pareto	Chief Executive Officer
0001788806-22-000001	1	Crowd Diligence Inc.	Michael Knox	Chairman
0001831180-22-000001	1	Quesadilla Gorilla, Inc	Miguel Reyes	CEO
0001665160-22-000591	1	Patrick Sherwin	Patrick Sherwin	Chief Executive Officer
0001901875-22-000002	1	ToneStone, Inc	Gregory LoPiccolo	Chief Executive Officer
0001867987-22-000001	1	DATG Group, LLC	Matt Bennett	Manager and Founder
0001665160-22-000587	1	TA Fintech Inc.	Jon Stone	President, CEO, Secretary, Treasurer and Founder
0001669191-22-000303	1	Demand Derivatives Corp.	Robert Krause	Principal Executive Officer
0001669191-22-000300	1	RocketTrader Inc.	Matthew P. Jones	Principal Executive Officer
0001669191-22-000299	1	Artificial Intelligence Economic Development Corporation	Leonard S.   Johnson Ph.D. student	Principal Executive Officer
0001665160-22-000585	1	Skeptic Distillery Co.	Karl Loepke	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001665160-22-000584	1	RIGHTSURE, INC.	Ronald Jeffery Arnold	President, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-22-000583	1	Adv3nture, Inc.	Zane Lamprey	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001917228-22-000001	1	FLY Wilmington LLC	David J Soler	Chief Operating Officer
0001665160-22-000580	1	Capital Pipeline, Inc.	Stephanie Nelson	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
