ACCESSION_NUMBER	ISAMENDMENT	PROGRESSUPDATE	NATUREOFAMENDMENT	NAMEOFISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	ISSUERWEBSITE	COMPANYNAME	ISCOISSUER	COMMISSIONCIK	COMMISSIONFILENUMBER	CRDNUMBER
0001665160-22-000598	0			HealthPoint Plus, Inc.	Corporation		DE	2014-08-13	230 Independence Way Suite 4		Danvers	MA	01923	https://healthpointplus.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-000596	0		Issuer is changing minimum investment amount	Speranza Therapeutics, Inc.	Corporation		DE	2019-09-18	433 Plaza Real Suite 275		Boca Raton	FL	33432	www.speranzatherapeutics.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001669191-22-000316	0		issuer made minor text edits, added revised pitch deck, and revised video to offering page.	Launchspace Technologies Corporation	Corporation		DE	2016-10-11	500 NE Spanish River Blvd	Suite 35	BOCA RATON	FL	33431	https://www.launchspacetechnologies.com	NetCapital Funding Portal Inc.	N	0001669191	007-00035	283596
0001665160-22-000594	0			Bemo Corporation	Corporation		FL	2021-08-16	1332 North N Street		Lake Worth	FL	33460	http://bemoband.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001669191-22-000314	0		the issuer is extending the offering deadline.	Accesr Inc.	Corporation		DE	2021-05-10	2909 Reagan St		Dallas	TX	75219	accesr.com	NetCapital Funding Portal Inc.	N	0001669191	007-00035	283596
0001746059-22-000131	1		Intermediary is correcting a typographical error regarding deadline to make an investment.	Waldscraft LLC	Limited Liability Company		CA	2021-12-15	57 MEADOW DR		MILL VALLEY	CA	94941	http://www.waldscraft.com	MainVest, Inc.	N	0001746059	007-00162	
0001746059-22-000130	0			Waldscraft LLC	Limited Liability Company		CA	2021-12-15	57 MEADOW DR		MILL VALLEY	CA	94941	http://www.waldscraft.com	MainVest, Inc.	N	0001746059	007-00162	
0001670254-22-000272	0			Patek Myself Song, LLC	Limited Liability Company		DE	2022-01-27	3415 South Sepulveda Boulevard,	Suite 1100 - #0161	Los Angeles	CA	90034	http://opulous.org	Wefunder Portal LLC	N	0001670254	007-00033	283503
0001669191-22-000311	0		the issuer is extending the offering deadline.	ScanHash LLC	Limited Liability Company		DE	2018-02-12	745 Atlantic Ave.		Boston	MA	02111	scanhash.com	NetCapital Funding Portal Inc.	N	0001669191	007-00035	283596
0001669191-22-000310	0		the issuer is extending the offering deadline.	Deskless Workers Inc.	Corporation		WA	2015-12-19	147 154TH PL NE		BELLEVUE	WA	98007	https://desklessworkers.com/	NetCapital Funding Portal Inc.	N	0001669191	007-00035	283596
0001669191-22-000307	0		the issuer is extending the offering deadline.	Unlocked Reality Inc.	Corporation		DE	2020-10-05	5655 Silver Creek Valley Road	#689	San Jose	CA	95138	https://www.unlockedreality.com/	NetCapital Funding Portal Inc.	N	0001669191	007-00035	283596
0001669191-22-000306	0		the issuer is extending the offering deadline.	Launchspace Technologies Corporation	Corporation		DE	2016-10-11	500 NE Spanish River Blvd	Suite 35	BOCA RATON	FL	33431	https://www.launchspacetechnologies.com	NetCapital Funding Portal Inc.	N	0001669191	007-00035	283596
0001755873-22-000002	0			VisuWall Technologies Inc. (f/k/a VisuWall Technologies, LLC)	Corporation		DE	2015-11-12	15 Park Row #18L	#18L	New York	NY	10038	https://visuwall.com		N			
0001665160-22-000593	0			HyperSciences, Inc.	Corporation		DE	2014-10-13	2311 E Main Ave, Suite 200		Spokane	WA	99202	https://www.hypersciences.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001815955-22-000001	0		Amending offering deadline	CTC Ventures, Inc.	Corporation		NY	2020-05-05	40 HARRISON ST	SUITE 36L	NEW YORK	NY	10013	www.ctcventures.net	truCrowd, Inc	N	0001667145	007-00015	283063
0001890178-22-000002	0		Disclosure of SAFE investment	The Renewable Snowmaking Company	Corporation		DE	2017-07-31	305 Commercial Street		Portland	ME	04101	www.ReNewSnow.Ski	InfraShares, Inc.	N	0001686389	007-00107	288408
0001788806-22-000001	0			Crowd Diligence Inc.															
0001831180-22-000001	0			Quesadilla Gorilla, Inc	Corporation		CA	2017-03-29	302 W MAIN ST		VISALIA	CA	93291	https://www.quesadillagorilla.com/	SMBX, Inc.	N	0001707214	007-00129	290186
0001665160-22-000591	0			GoSun Inc.	Corporation		DE	2016-12-21	1217 Ellis Street		Cincinnati	OH	45223	https://www.gosun.co		N			
0001901875-22-000002	0			ToneStone, Inc	Corporation		DE	2018-09-12	15 WHITE PLACE		BROOKLINE	MA	02445	https://tonestone.com	OpenDeal Portal LLC	N	0001751525	007-00167	283874
0001867987-22-000001	0			DATG Group, LLC															
0001665160-22-000587	0			TA Fintech Inc.	Corporation		DE	2021-09-24	401 Park Avenue S, Number 10		New York	NY	10016	https://tradealgo.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001669191-22-000303	0			Demand Derivatives Corp.	Corporation		DE	2017-08-08	99 Wall Street	Suite 3901	New York	NY	10005	demandderivatives.com	NetCapital Funding Portal Inc.	N	0001669191	007-00035	283596
0001669191-22-000300	0		the issuer is extending the offering deadline.	RocketTrader Inc.	Corporation		DE	2020-03-26	1072 Kensington Dr.		Roseville	CA	95661	https://quantscompete.com	NetCapital Funding Portal Inc.	N	0001669191	007-00035	283596
0001669191-22-000299	0		the issuer is extending the offering deadline.	Artificial Intelligence Economic Development Corporation	Corporation		DE	2017-05-01	6242 Warner Avenue	Suite 7-F	Huntington Beach	CA	92647	www.Aiedc.com	NetCapital Funding Portal Inc.	N	0001669191	007-00035	283596
0001665160-22-000585	0	At the close of the offering, the issuer closed on $35,875 and 8,065 number of securities.		Skeptic Distillery Co.	Corporation		IL	2014-10-12	2525 W LE MOYNE ST.		MELROSE PARK	IL	60160	https://www.skepticdistillery.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-000584	0	The issuer closed on $72,330.90 and 46,000 shares of common stock.		RIGHTSURE, INC.	Corporation		AZ	1990-07-20	5151 E BROADWAY BOULEVARD		TUCSON	AZ	85711	https://www.rightsure.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-000583	0	At the close of the offering, the issuer closed on $202,040.28 and 55,531 number of securities.		Adv3nture, Inc.	Corporation		DE	2017-12-08	6003 PHINNEY AVE N	STE M	SEATTLE	WA	98103	adv3nture.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001917228-22-000001	0			FLY Wilmington LLC	Limited Liability Company		DE	2021-06-01	115 S COMPO ROAD		WESTPORT	CT	06880	www.FLYWilmingtonNC.com	FOLLA CAPITAL, LLC	N	0001786669	008-70399	000305140
0001670254-22-000269	0			Echo Mind Ai Corp.	Corporation		DE	2021-06-10	9717 Newcastle Dr.		Highlands Ranch	CO	80130	http://www.echomindai.com	Wefunder Portal LLC	Y	0001670254	007-00033	283503
0001665160-22-000580	0	At the close of the offering, the issuer closed on $0.00 and 0 number of securities.		Capital Pipeline, Inc.	Corporation		DE	2021-08-11	365 E. PALM LN.		PHOENIX	AZ	85004	https://www.capitalpipeline.tech/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-000581	0	At the close of the offering, the issuer closed on $279,613.08 and 52,341 number of securities.		Satellite Displays, Inc.	Corporation		DE	2018-02-26	480 OCEAN AVENUE UNIT 6K		LONG BRANCH	NJ	07740	satellitedisplay.com	StartEngine Capital, LLC	N	0001665160	007-00007	
