ACCESSION_NUMBER	ID	ISEDGARFILER	COISSUERCIK	NAMEOFCOISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	COISSUERWEBSITE
0001670254-22-000269	2			Echo Mind Ai I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	28-MAR-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000269	1			Echo Mind Ai I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	28-MAR-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000271	1			Trella Technologies, Inc I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	24-MAR-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000271	2			Trella Technologies, Inc I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	24-MAR-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000268	1			Envel III, a series of Wefunder SPV, LLC	Limited Liability Company		DE	11-MAR-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000268	2			Envel III EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	11-MAR-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000265	1			Gathr I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	03-MAR-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000260	1			AccessVet I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	23-MAR-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000260	2			AccessVet I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	23-MAR-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000264	2			Bison Venture Partners I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	24-MAR-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000264	1			Bison Venture Partners I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	24-MAR-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000263	2			Centers For Age Control I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	11-NOV-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000263	1			Centers For Age Control I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	11-NOV-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000259	2			Prewrite I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	17-SEP-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000259	1			Prewrite I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	17-SEP-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000249	1			Cadenzo I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	23-MAR-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000252	1			Givsum I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	23-MAR-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000247	1			Primer Seltzers I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	23-MAR-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000249	2			Cadenzo I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	23-MAR-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000245	1			Vitalize Angels Cyber Popup, Inc. I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	21-MAR-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000240	2			Ashley Black Experience I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-MAR-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000240	1			Ashley Black Experience I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-MAR-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000244	1			StaySafe Concrete Products I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-SEP-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000238	1			WhiteClouds I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-MAR-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000242	1			Kiddie Kredit I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-MAR-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000238	2			WhiteClouds I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-MAR-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000244	2			StaySafe Concrete Products I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-SEP-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000236	2			Pocket Properties I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	17-SEP-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000236	1			Pocket Properties I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	17-SEP-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001917699-22-000009	2			Sovereign Aniyunwiya Nation	Other	Foreign Corporation Non-profit	AL	16-JUL-2021	2501 Mastin Lake Rd NW	Suite 3563	Huntsville	AL	35810	http://www.nativesanandcompany.com
0001917699-22-000009	1			Shamuel Family Trust	Business Trust		TX	01-JAN-2021	128 Sunset Blvd	#1099	New Castle	DE	19720	http://www.worldcreditunion.org
0001670254-22-000229	2			Learnie I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	04-MAR-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000229	1			Learnie I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	04-MAR-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000228	1			Pit Liquor I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	16-MAR-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
