ACCESSION_NUMBER	ID	PERSONSIGNATURE	PERSONTITLE	SIGNATUREDATE
0001665160-22-000598	1	Robert A. Goddard	Chairman, Chief Executive Officer, President, Principal Financial Officer, Principal Accounting Officer and Director	2022-03-31
0001665160-22-000598	4	Greg Greene	Executive Vice President  and Chief Revenue Officer	2022-03-31
0001665160-22-000598	3	Teresa Dean MD	Board of Directors	2022-03-31
0001665160-22-000598	2	Marty Loughlin	Director	2022-03-31
0001665160-22-000596	3	Joseph C Bissonnette	Chief Financial Officer and Principle Accounting Officer	2022-03-31
0001665160-22-000596	2	Todd Krasinsky	Chief Strategy Officer and Director	2022-03-31
0001665160-22-000596	1	Sal Rafanelli	President and CEO	2022-03-31
0001669191-22-000316	5	Marshall Kaplan Ph.D.	Board Member	2022-03-31
0001669191-22-000316	1	John Bauman	Principal Executive Officer	2022-03-31
0001669191-22-000316	3	John Bauman	Principal Accounting Officer	2022-03-31
0001669191-22-000316	4	John Bauman	Board Member	2022-03-31
0001669191-22-000316	2	John Bauman	Principal Financial Officer	2022-03-31
0001665160-22-000594	2	Christopher Kennedy	Secretary, Treasurer, Director	2022-03-31
0001665160-22-000594	1	Daren Houtaling	CEO, Director	2022-03-31
0001669191-22-000314	4	Alan Rodriguez	Board Member	2022-03-31
0001669191-22-000314	1	Alan Rodriguez	Principal Executive Officer	2022-03-31
0001669191-22-000314	2	Alan Rodriguez	Principal Financial Officer	2022-03-31
0001669191-22-000314	3	Alan Rodriguez	Principal Accounting Officer	2022-03-31
0001746059-22-000131	1	Stacey Waldspurger	Owner and Founder	2022-03-31
0001746059-22-000130	1	Stacey Waldspurger	Owner and Founder	2022-03-31
0001670254-22-000272	2	Jay Moore	Director	2022-03-31
0001670254-22-000272	3	Miles Carroll	COO	2022-03-31
0001670254-22-000272	1	Matthew Parsons	director	2022-03-31
0001669191-22-000311	4	Robert Waterman	Board Member	2022-03-31
0001669191-22-000311	3	Robert Waterman	Principal Accounting Officer	2022-03-31
0001669191-22-000311	1	Robert Waterman	Principal Executive Officer	2022-03-31
