ACCESSION_NUMBER	ID	PERSONSIGNATURE	PERSONTITLE	SIGNATUREDATE
0001669191-21-000676	8	Byron  Galbraith	Board Member	2021-06-30
0001669191-21-000676	7	Francis Speiser	Board Member	2021-06-30
0001669191-21-000676	6	Rob May	Board Member	2021-06-30
0001669191-21-000676	5	Brady Bohrmann	Board Member	2021-06-30
0001669191-21-000676	1	Francis Speiser	Principal Executive Officer	2021-06-30
0001669191-21-000676	2	Gunnar Link	Principal Financial Officer	2021-06-30
0001669191-21-000676	3	Gunnar Link	Principal Accounting Officer	2021-06-30
0001669191-21-000676	4	Rudina Seseri	Board Member	2021-06-30
0001846065-21-000004	2	/s/Bhargav Varma	COO & Director	2021-06-30
0001846065-21-000004	1	Palem Imran	CEO & Director	2021-06-30
0001759667-21-000004	2	Douglas Layman	Director	2021-06-30
0001759667-21-000004	1	Lora LeeAnne Haddock DiCarlo	Director	2021-06-30
0001759667-21-000004	3	Jason Moyer	Chief Financial Officer	2021-06-30
0001863613-21-000003	1	Anthony Salguero	Co-owner	2021-06-30
0001644600-21-000067	1	Michael Williams	President and Chief Executive Officer	2021-06-30
0001665160-21-001206	3	Brian Gerald Brazzo	MD	2021-06-30
0001665160-21-001206	4	Dr. Terry Zickerman	CEO	2021-06-30
0001665160-21-001206	1	Steve Liaci	Director	2021-06-30
0001665160-21-001206	2	Kevin Gallagher	Independent Board Director	2021-06-30
0001669191-21-000674	5	Teague Egan	Board Member	2021-06-30
0001669191-21-000674	2	Mike Eberhardt	Principal Financial Officer	2021-06-30
0001669191-21-000674	3	Geraldine Berkowitz	Principal Accounting Officer	2021-06-30
0001669191-21-000674	4	Michael Egan	Board Member	2021-06-30
0001669191-21-000674	1	Teague Egan	Principal Executive Officer	2021-06-30
0001824547-21-000002	1	Frank Bashore	President	2021-06-30
0001670254-21-000764	1	WEN C CHAN	CFO	2021-06-28
0001670254-21-000764	2	B Renee Searle	CEO	2021-06-28
0001669191-21-000672	2	Edwin Baldry	Board Member	2021-06-30
0001669191-21-000672	3	Barbara A Grimm	Board Member	2021-06-30
0001669191-21-000672	1	Barbara A Grimm	Principal Executive Officer	2021-06-30
0001665160-21-001205	1	Sean Clarke	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-06-30
0001669191-21-000670	3	Marvin Johnson	Principal Accounting Officer	2021-06-30
0001669191-21-000670	5	Anthony Carter	Board Member	2021-06-30
0001669191-21-000670	4	Marvin Johnson	Board Member	2021-06-30
0001669191-21-000670	2	Marvin Johnson	Principal Financial Officer	2021-06-30
0001669191-21-000670	1	Marvin Johnson	Principal Executive Officer	2021-06-30
0001669191-21-000668	3	David Norris	Principal Accounting Officer	2021-06-30
0001669191-21-000668	5	David Norris	Board Member	2021-06-30
0001669191-21-000668	2	David Norris	Principal Financial Officer	2021-06-30
0001669191-21-000668	1	David Norris	Principal Executive Officer	2021-06-30
0001669191-21-000668	4	Jeff Chambers	Board Member	2021-06-30
0001669191-21-000666	1	Dermell Brunson	Principal Executive Officer	2021-06-30
0001669191-21-000666	4	Dermell Brunson	Board Member	2021-06-30
0001669191-21-000666	3	Dermell Brunson	Principal Accounting Officer	2021-06-30
0001669191-21-000666	2	Dermell Brunson	Principal Financial Officer	2021-06-30
0001669191-21-000666	5	Ezekiel Jackson	Board Member	2021-06-30
0001669191-21-000664	2	Leonard S.   Johnson Ph.D. student	Principal Financial Officer	2021-06-30
0001669191-21-000664	4	Leonard S.   Johnson Ph.D. student	Board Member	2021-06-30
0001669191-21-000664	3	Leonard S.   Johnson Ph.D. student	Principal Accounting Officer	2021-06-30
0001669191-21-000664	5	Dr. Alexander  Nawrocki Ph.D.	Board Member	2021-06-30
0001669191-21-000664	1	Leonard S.   Johnson Ph.D. student	Principal Executive Officer	2021-06-30
0001665160-21-001203	1	Connor O'Brien	CEO and Principal Executive Officer	2021-06-30
0001665160-21-001203	2	Kevin O'Leary	Director	2021-06-30
0001670254-21-000762	1	Thomas David Beers	Board member	2021-06-26
0001670254-21-000762	3	Thomas Ashley	CEO	2021-06-25
0001670254-21-000762	2	Conrad Entertainment, LLC	Managing Partner	2021-06-25
0001665160-21-001202	1	Kris Izquierdo	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2021-06-30
0001745986-21-000004	1	Shi Li	CEO, principal financial officer, and principal accounting officer	2021-06-29
0001690433-21-000004	5	Jonathan Meltzer	Board Member	2021-06-29
0001690433-21-000004	3	Andrew Siegel	Board Member	2021-06-29
0001690433-21-000004	2	Dom Curcio	Board Member	2021-06-29
0001690433-21-000004	1	Jeff Lewis	CEO	2021-06-29
0001640709-21-000004	3	/s/Norman Rose	Director	2021-06-29
0001640709-21-000004	2	/s/Daniel Gohari	Director	2021-06-29
0001640709-21-000004	1	/s/Payam Safa	CEO, Director	2021-06-29
0001670254-21-000760	2	Ruslan Bugaev	Founder and CEO	2021-06-24
0001745986-21-000004	2	Duncan Sham	Director	2021-06-29
0001690433-21-000004	4	Ralph Greene	Board Member	2021-06-29
0001670254-21-000760	1	Semion Matyash	Founder	2021-06-24
0001746059-21-000305	1	Lashauna Jones	Owner and Founder	2021-06-29
0001866542-21-000002	1	Malorie La Fuente by Sean Fuellhart POA	CEO	2021-06-29
0001746059-21-000304	1	Kyle Lenke	Owner and Founder	2021-06-29
0001866542-21-000001	1	Maria Crisler by Sean Fuellhart POA	CEO	2021-06-29
0001870094-21-000001	1	Joel Lennon-Meyer	President	2021-06-22
0001812129-21-000003	1	Sean O'Neill	President	2021-06-29
0001746059-21-000302	1	Jeffrey Olsen	Owner	2021-06-29
0001669191-21-000662	5	Jack McDaniel	Board Member	2021-06-29
0001669191-21-000662	6	Jackey  Lee	Board Member	2021-06-29
0001669191-21-000662	4	Kevin Donahue	Board Member	2021-06-29
0001669191-21-000662	1	Jack McDaniel	Principal Executive Officer	2021-06-29
0001669191-21-000662	2	Jack McDaniel	Principal Financial Officer	2021-06-29
0001669191-21-000662	3	Jack McDaniel	Principal Accounting Officer	2021-06-29
0001669191-21-000660	6	Kilton  Agolli	Board Member	2021-06-29
0001669191-21-000660	5	Dwaine Parker	Board Member	2021-06-29
0001669191-21-000660	1	Paul Inglese	Principal Executive Officer	2021-06-29
0001669191-21-000660	3	Scott Foster	Board Member	2021-06-29
0001669191-21-000660	4	Paul Inglese	Board Member	2021-06-29
0001669191-21-000660	2	Scott Foster	Principal Financial Officer	2021-06-29
0001852221-21-000005	1	C.R. CELONA	CEO	2021-06-29
0001781955-21-000004	1	Ben White	CEO	2021-06-29
0001509693-21-000002	1	John Morgan	CEO	2021-06-29
0001665160-21-001200	1	Vipin Jain	CEO, Principal Executive Officer and Director, Principal Financials Officer, and Principal Accounting Officer.	2021-06-29
0001665160-21-001198	1	Peter Farmakis	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-06-29
0001665160-21-001196	1	Christine Ntim	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-06-28
0001669191-21-000657	2	Kauffman Scott	Principal Financial Officer	2021-06-29
0001669191-21-000657	1	Kauffman Scott	Principal Executive Officer	2021-06-29
0001669191-21-000657	4	Kauffman Scott	Board Member	2021-06-29
0001669191-21-000657	3	Kauffman Scott	Principal Accounting Officer	2021-06-29
0001796060-21-000005	1	Michael Loyd	CEO	2021-06-29
0001796060-21-000005	2	Michelle Loyd	CPO	2021-06-29
0001746059-21-000301	1	Bradley Gakenheimer	CEO and CoFounder	2021-06-28
0001848794-21-000003	1	PHILLIP POMPA	CEO	2021-06-28
0001670254-21-000758	1	Antony Cousins	CEO	2021-06-28
0001670254-21-000758	2	Dhruv Ghulati	Founder & co-CEO	2021-06-28
0001829703-21-000003	1	Alexander Max Goldstein	Director	2021-06-28
0001829703-21-000003	2	Kristoffer Bjornerud	Director	2021-06-28
0001829703-21-000003	3	Tyler Allen Wakstein	Director	2021-06-28
0001746059-21-000300	1	Jeremias Geigel	Owner and Founder	2021-06-28
0001669191-21-000654	2	Rob  Maiello	Principal Financial Officer	2021-06-28
0001669191-21-000654	1	Chelinde Edouard	Principal Executive Officer	2021-06-28
0001669191-21-000654	3	John Fanning, Jr	Board Member	2021-06-28
0001669191-21-000654	4	Chelinde Edouard	Board Member	2021-06-28
0001669191-21-000652	3	John Fanning Jr	Principal Accounting Officer	2021-06-28
0001669191-21-000652	4	John Fanning Jr	Board Member	2021-06-28
0001669191-21-000652	1	John Fanning Jr	Principal Executive Officer	2021-06-28
0001669191-21-000652	2	John Fanning Jr	Principal Financial Officer	2021-06-28
0001669191-21-000650	3	Leslie Mellen-Ryan	Principal Accounting Officer	2021-06-28
0001669191-21-000650	4	Paul Luna	Board Member	2021-06-28
0001669191-21-000650	1	Paul Luna	Principal Executive Officer	2021-06-28
0001669191-21-000650	2	Leslie Mellen-Ryan	Principal Financial Officer	2021-06-28
0001669191-21-000650	5	Caleb Brummett	Board Member	2021-06-28
0001869516-21-000002	1	Colin Anderson	President	2021-06-28
0001665160-21-001193	1	Isaac Hayes III	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-06-28
0001665160-21-001191	2	Vincent Poudras	Co-CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-06-28
