ACCESSION_NUMBER	ISAMENDMENT	PROGRESSUPDATE	NATUREOFAMENDMENT	NAMEOFISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	ISSUERWEBSITE	COMPANYNAME	ISCOISSUER	COMMISSIONCIK	COMMISSIONFILENUMBER	CRDNUMBER
0001669191-21-000676	0		issuer extended the offering date.	Talla Inc.	Corporation		DE	2015-08-26	4 Liberty Square	Floor 4	Boston	MA	02109	talla.com	NetCapital Funding Portal Inc.	N	0001669191	007-00035	283596
0001846065-21-000004	1		Increasing the maximum offering amount from $107,000 to $250,000, extending the Offering deadline, adjusting the product roadmap in light of the ongoing COVID-19 pandemic, and updating the company's financial performance metrics.	CISAPP Online Inc.	Corporation		DE	2020-09-01	1334 Brittmoore Rd		Houston	TX	77043	https://www.cisapp.co/	MicroVenture Marketplace Inc.	N	0001478147	008-68458	152513
0001759667-21-000004	1		This C-A is to include audited financials, extended the campaign deadline to 2/28/22, increase the maximum offering amount to 5M, make certain changes to the form of Crowd SAFE. Please see the C-A for further detail.	UCCELLINI INC	Corporation		DE	2017-09-13	626 NW ARIZONA AVENUE		BEND	OR	97703	https://LoraDiCarlo.com	OpenDeal Portal LLC	N	0001751525	007-00167	283874
0001863613-21-000003	1		The raise deadline has been extended to July 28th, 2021.	Popoca Oakland, LLC	Limited Liability Company		CA	2020-01-01	2615 MOYERS RD		RICHMOND	CA	94806	https://www.popocaoakland.com/	SMBX, Inc.	N	0001707214	007-00129	290186
0001644600-21-000067	0			Glytch Gear, Inc.	Corporation		DE	2021-03-03	9910 RESEARCH DRIVE		IRVINE	CA	92618	glytchgear.com	DALMORE GROUP LLC	N	0001332099	008-67002	000136352
0001665160-21-001206	0	At the close of the offering, the issuer closed on $252,280.00 and 344,750 number of securities.		Love Sun Body LLC	Limited Liability Company		DE	2012-09-17	50 CUMMINGS CIRCLE		WEST ORANGE	NJ	07052	http://lovesunbody.com	Wefunder Portal LLC	N	0001670254	007-00033	283503
0001669191-21-000674	0		issuer extended the offering date.	Energy Exploration Technologies, Inc.	Corporation		PR	2018-12-18	65 Green Villa Dr.	#21	Dorado	PR	00646	www.energyx.com	NetCapital Funding Portal Inc.	N	0001669191	007-00035	283596
0001824547-21-000002	1		FINRA compliance and updated offering terms	ABR First Capital LLC	Limited Liability Company		TX	2020-07-15	6044 GATEWAY EAST BLVD SUITE 544		EL PASO	TX	79905	https://www.investabr.com/	Silicon Prairie Holdings Inc.	N	0001711770	007-00123	
0001670254-21-000764	0			BIOSMART RESEARCH, INC.	Corporation		WA	2019-03-11	18324 Cook Road SE Unit 1		Yelm	WA	98597	http://biosmartresearchcbd.com	Wefunder Portal LLC	Y	0001670254	007-00033	283503
0001669191-21-000672	0		issuer extended the offering date.	HighSchoolResponder LLC	Limited Liability Company		PA	2020-09-02	11 Katie Lane		Lancaster	PA	17602	http://HighSchoolResponder.com	NetCapital Funding Portal Inc.	N	0001669191	007-00035	283596
0001665160-21-001205	1		Issuer extended its offering.	Arc Footwear, Corp.	Corporation		DE	2020-06-12	1460 BROADWAY		NEW YORK	NY	10036	https://www.arcfootwearcorp.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001669191-21-000670	0		issuer extended the offering date.	Dashible, Inc.	Corporation		DE	2019-02-19	138-44C Queens Blvd	Suite 451	Briarwood	NY	11435	https://www.dashible.com	NetCapital Funding Portal Inc.	N	0001669191	007-00035	283596
0001669191-21-000668	0		issuer extended the offering date.	Guardian Athletics, Inc.	Corporation		MN	2019-10-15	837 Wall Street		North Mankato	MN	56003	guardianathletics.com	NetCapital Funding Portal Inc.	N	0001669191	007-00035	283596
0001669191-21-000666	0		the issuer extended the offering date.	TOP UNii, Inc	Corporation		MD	2020-01-19	1120 N. Charles St.	Suite 500	Baltimore	MD	21201	www.EPICFAMLife.com	NetCapital Funding Portal Inc.	N	0001669191	007-00035	283596
0001669191-21-000664	0		issuer extended the offering date.	Artificial Intelligence Economic Development Corporation	Corporation		DE	2017-05-01	6242 Warner Avenue	Suite 7-F	Huntington Beach	CA	92647	www.Aiedc.com	NetCapital Funding Portal Inc.	N	0001669191	007-00035	283596
0001665160-21-001203	0	At the close of the offering, the issuer closed on $1,026,108 and 1,500,004 number of securities.		Beanstox Inc.	Corporation		DE	2018-03-14	75 STATE STREET, SUITE 100	SUITE 100	BOSTON	MA	02109	www.beanstox.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001670254-21-000762	0			Invincible Entertainment Partners LLC	Limited Liability Company		PA	2014-05-01	931 Huntingdon Pike		Huntingdon Valley	PA	19006	http://www.invincibleent.com	Wefunder Portal LLC	Y	0001670254	007-00033	283503
0001665160-21-001202	0			Breezy Swimwear Inc.	Corporation		DE	2020-05-06	8762 SW 133rd ST.		Miami	FL	33176	www.breezyswimwear.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001640709-21-000004	1		This Amendment is to make the following material changes: extend the Offering Deadline, update the Previous Securities Offerings Section, update the Capitalization Section, update Key Persons Section, Disclose an individual max investment, update SAFE.	Bellhop Technologies Inc.	Corporation		DE	2014-04-14	137 WEST 25TH STREET	4B	NEW YORK	NY	10001	https://www.rideobi.com	OpenDeal Portal LLC	N	0001751525	007-00167	283874
0001670254-21-000760	0			Nwicode	Corporation		DE	2020-07-16	3 E Evergreen Rd PMB567		New City	NY	10956	https://nwicode.com/	Wefunder Portal LLC	Y	0001670254	007-00033	283503
0001690433-21-000004	0			AFFL ASSOCIATES, LLC	Limited Liability Company		DE	2016-10-19	1350 Avenue of the Americas	Suite 2010	NEW YORK	NY	10019	https://www.affl.com	SI SECURITIES, LLC	N	0001603038	008-69440	000170937
0001745986-21-000004	0			AppMail, Inc.	Corporation		DE	2012-03-26	435 W 31ST ST, NEW YORK, NY 10001	SUITE 4D	NEW YORK	NY	10001	https://www.appmail.co		N			
