ACCESSION_NUMBER	ISAMENDMENT	PROGRESSUPDATE	NATUREOFAMENDMENT	NAMEOFISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	ISSUERWEBSITE	COMPANYNAME	ISCOISSUER	COMMISSIONCIK	COMMISSIONFILENUMBER	CRDNUMBER
0001665160-21-002432	0		Issuer is disclosing inside investment.	Hyperlight Energy Inc.	Corporation		DE	2012-08-29	11651 Riverside Dr., Suite 143		Lakeside	CA	92040	www.hyperlightenergy.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001886772-21-000002	1		This Amendment is filed to extend the Offering deadline to April 7, 2022.	Apothio, LLC	Limited Liability Company		IN	2016-10-03	74 SOUTH BELLERIVE DRIVE		PERU	IN	46970	https://apothio.net/	OpenDeal Portal LLC	N	0001751525	007-00167	283874
0001780439-21-000022	0		Rockval has updated their perk packages.	Rockval Inc	Corporation		DE	2020-07-30	10515 KINKAID TERRACE		LAKE WORTH	FL	33449	www.rockval.com	Fundopolis Portal LLC	Y	0001729158	007-00143	
0001669191-21-001270	0			MassGenie	Corporation		CA	2016-04-01	3943 Irvine Blvd.	#170	Irvine	CA	92602	https://powerbuy.app	NetCapital Funding Portal Inc.	N	0001669191	007-00035	283596
0001665160-21-002430	0			Como Audio, Inc	Corporation		DE	2019-03-01	100 Bay State Drive		Braintree	MA	02184	comoaudio.com		N			
0001665160-21-002428	0			Revolution MD, Inc	Corporation		NV	2018-08-01	5600 Crooked Pine Lane		Knoxville	TN	37921	http://rev-md.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-21-002425	0			SanMelix Laboratories, Inc.	Corporation		DE	2017-01-13	1150 North 35th Avenue Suite 225		HOLLYWOOD	FL	33028	www.sanmelixlaboratories.com		N			
0001746059-21-000643	0			Milagro Foods LLC	Limited Liability Company		CO	2015-04-05	41322 LONDON DR		PARKER	CO	80138	http://www.coloradohemphoney.com	MainVest, Inc.	N	0001746059	007-00162	
0001665160-21-002423	0			BlueSky Energy US Inc.	Corporation		DE	2017-05-19	875 Kootenai Cut Off Rd.		Ponderay	ID	83852	https://greenrockbatteries.com/		N			
0001665160-21-002420	0			Full Circle Brewing Co. Ltd., LLC	Limited Liability Company		CA	1998-05-01	620 F Street		Fresno	CA	93706	fullcirclebrewing.com		N			
0001665160-21-002421	0			Harp & Cork, Inc. dba Dharma Southern Kitchen	Corporation		FL	2019-01-23	2603 E South St		Orlando	FL	32803	www.dharmasouthernkitchen.com	StartEngine Capital, LLC	N	0001665160	007-00007	
