ACCESSION_NUMBER	ID	PERSONSIGNATURE	PERSONTITLE	SIGNATUREDATE
0001670254-23-000273	1	silvia garcia olmedo	Board member	2023-03-31
0001670254-23-000273	2	Brian Mac Mahon	Founder & CEO	2023-03-30
0001665160-23-000520	2	Jeffrey Kanof	Vice President	2023-03-31
0001665160-23-000520	1	Micah Nutt	Vice President	2023-03-31
0001665160-23-000520	3	Jason Parker	President	2023-03-31
0001914960-23-000002	1	Michael W. Wellet	CEO	2023-03-31
0001746059-23-000080	1	Deric Cahill	Owner and Founder	2023-03-31
0001746059-23-000079	1	Thomas Olsen	Managing Partner	2023-03-31
0001934804-23-000001	1	Ashley Bratcher	Manager of the Manager	2023-03-31
0001669191-23-000305	4	James  O'Loughlin	Board Member	2023-03-31
0001669191-23-000305	5	Timur Akilov	Board Member	2023-03-31
0001669191-23-000305	3	Timur Akilov	Principal Accounting Officer	2023-03-31
0001669191-23-000305	1	James  O'Loughlin	Principal Executive Officer	2023-03-31
0001669191-23-000305	2	Timur Akilov	Principal Financial Officer	2023-03-31
0001963810-23-000002	1	Kelly Jackson	CEO	2023-03-31
0001746059-23-000078	1	Cullen Farrell	Owner and CoFounder	2023-03-31
0001644600-23-000054	4	Emma Clark	COO	2023-03-31
0001644600-23-000054	5	Ashley Ebersole	Director	2023-03-31
0001644600-23-000054	3	Matthew Klein	CXO	2023-03-31
0001644600-23-000054	1	Jesse Randall	CEO and Director	2023-03-31
0001644600-23-000054	2	Chad Lewkowski	CIO and Director	2023-03-31
0001781973-23-000001	3	Michael Brian Nashick	Chief Financial Officer	2023-03-31
0001781973-23-000001	2	Daniel Thomas Hinkle	Chief Operating Officer	2023-03-31
0001781973-23-000001	1	John David Worthington	Chief Executive Officer	2023-03-31
0001670254-23-000272	3	Todd Martin	Co-Founder, EVP	2023-03-29
0001670254-23-000272	2	Sherry Martin	CEO	2023-03-29
0001670254-23-000272	1	Benjamin Mand	CEO HH and Chairman of the Board TT	2023-03-30
0001527854-23-000002	2	Leif Emil Jattne	Manager, Co-Chief Executive Officer, Co-Founder	2023-03-31
0001527854-23-000002	1	Angel Joseph Santos	Manager, Co-Chief Executive Officer, Co-Founder	2023-03-31
0001670254-23-000271	1	Josh Booty	Co founder	2023-03-31
0001670254-23-000271	2	Jack Booty	Co-Founder	2023-03-31
0001665160-23-000517	4	Jim Chase	Board Director	2023-03-31
0001665160-23-000517	3	Norb Seufert	President and Marketing Director	2023-03-31
0001665160-23-000517	2	Lawrence E. Goldenthal	Director, COO, and General Counsel	2023-03-31
0001665160-23-000517	1	Stephen D Rosen	Board Chairman, CEO and Principal Accounting Officer	2023-03-31
0001897616-23-000002	3	Avi Glijansky	Director	2023-03-31
0001897616-23-000002	1	Stacey Book	Director	2023-03-31
0001897616-23-000002	2	Dominique Ferrari	Director	2023-03-31
0001897616-23-000001	2	Dominique Ferrari	Director	2023-03-31
0001897616-23-000001	1	Stacey Book	Director	2023-03-31
0001897616-23-000001	3	Avi Glijansky	Director	2023-03-31
0001971368-23-000002	1	Eric Corbin	CEO	2023-03-31
0001971776-23-000001	1	/s/ Thomas Humbert	Owner and Manager	2023-03-29
0001741454-23-000002	2	Sumit Vohra	Managing Member	2023-03-31
0001741454-23-000002	1	Chris Mielke	Managing Member	2023-03-31
0001876413-23-000009	1	Duane A. Quamina	President & CEO	2023-03-31
0001971629-23-000001	1	Kainesha Hodge	CEO	2023-03-31
0001665160-23-000512	1	Jacob Boyle	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2023-03-30
0001780409-23-000002	2	Erek Benz	Director	2023-03-30
0001780409-23-000002	3	Julie Henley McNamara	Director	2023-03-30
0001780409-23-000001	3	Julie Henley McNamara	Director	2023-03-30
0001780409-23-000002	1	Erinn Valencich	Director	2023-03-30
0001780409-23-000001	1	Erinn Valencich	Director	2023-03-30
0001878148-23-000002	1	Messiah Jacobs	CEO	2023-03-30
0001780409-23-000001	2	Erek Benz	Director	2023-03-30
0001644600-23-000052	1	Nelson Del Rio	Co CEO	2023-03-30
0001644600-23-000052	2	Aaron Holm	Co CEO / CFO / Secretary	2023-03-30
0001213900-23-024699	1	/s/ Jorge Aldecoa	Chief Executive Officer and Director	2023-03-30
0001213900-23-024699	2	/s/ Michael Logozzo	Chief Financial Officer (principal accounting officer) and Director	2023-03-30
0001768309-23-000001	1	/s/ Adam Brandley	CEO	2023-03-30
0001669191-23-000300	5	Neil  Kelleher	Board Member	2023-03-30
0001669191-23-000300	4	Rajmony Pannu	Board Member	2023-03-30
0001669191-23-000300	3	Jack Kloeber	Principal Accounting Officer	2023-03-30
0001669191-23-000300	1	Jack Kloeber	Principal Executive Officer	2023-03-30
0001669191-23-000300	2	Jack Kloeber	Principal Financial Officer	2023-03-30
0001669191-23-000300	7	Regan Thomson	Board Member	2023-03-30
0001669191-23-000300	6	William  Metcalf	Board Member	2023-03-30
0001746059-23-000077	1	Aurelio Ramirez	Owner and Founder	2023-03-30
0001833098-23-000001	1	Dinesh Patel	CEO	2023-03-30
0001948360-23-000002	1	Sean Brehm	Chief Executive Officer	2023-03-30
0001096906-23-000678	1	/s/ Kobe Rogers	COO, Director	2023-03-29
0001096906-23-000678	2	/s/ Alec Brewer	CEO, Director	2023-03-29
0001746059-23-000076	1	Aurelio Ramirez	Owner and Founder	2023-03-30
0001809210-23-000001	3	Scott Carmen	Director	2023-03-28
0001809210-23-000001	1	Cory J. Linton	Director	2023-03-28
0001809210-23-000001	2	Collin Anderton	Director	2023-03-28
0001944335-23-000001	2	Dana Kerr	Director	2023-03-30
0001944335-23-000001	1	Jeffrey D. Kerr	Director	2023-03-30
0001970491-23-000001	1	Dianna Palmer	CEO	2023-03-30
0001665160-23-000509	2	Jessica Norman	COO, Principal Accounting Officer	2023-03-29
0001665160-23-000509	1	Haley Pavone	CEO, President Director	2023-03-29
0001493152-23-009625	1	Chandanni Miglino	CEO	2023-03-29
0001665160-23-000508	1	John Bullinger	CEO and Board Member	2023-03-29
0001665160-23-000508	2	Raymond Yule	CFO and Board Member	2023-03-29
0001665160-23-000508	3	Matthew O'Brien	Head of Sales and Board Member	2023-03-29
0001670254-23-000269	3	Adam Hiner	CEO	2023-03-28
0001946028-23-000001	1	Nanne Dekking	Principal	2023-03-29
0001670254-23-000269	1	Madeleine Hamann	Managing member	2023-03-28
0001936096-23-000001	1	Pierre Le Veaux II	CEO	2023-03-29
0001670254-23-000267	1	Breanne Acio	CEO	2023-03-28
0001096906-23-000674	1	/s/ Michael J. Lasky	CEO of the Manager	2023-03-29
0001665160-23-000501	4	Jada Lee	Cofounder Vice Chairman of the Board	2023-03-29
0001665160-23-000501	3	Kevin Lee	Chief of Research and Development	2023-03-29
0001665160-23-000501	2	Michelle Quan	CFO	2023-03-29
0001665160-23-000501	1	Edward Yoon Lee	CEO	2023-03-29
0001665160-23-000503	1	Diana Sabacinski	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2023-03-29
0001665160-23-000499	2	Michael Bradley McGovern	Director	2023-03-29
0001670254-23-000269	2	Jose Caldera	ceo	2023-03-28
0001670254-23-000264	1	Ian Eaves	Founder & CEO	2023-03-29
0001665160-23-000499	1	David Allan	President	2023-03-29
0001951952-23-000002	1	Elijah Bucher	Director	2023-03-29
0001665160-23-000497	2	Mark Andersen	CFO	2023-03-29
0001665160-23-000497	1	Peter O'Heeron	President, CEO and Chairman of the Board	2023-03-29
0001665160-23-000497	3	Richard Cilento Jr.	Director	2023-03-29
0001665160-23-000497	4	Stacy Coen	Director	2023-03-29
0001665160-23-000497	5	Victoria Niklas	Director	2023-03-29
0001665160-23-000497	6	Matthew Link	Director	2023-03-29
0001966532-23-000001	1	Phil Dumontet	President	2023-03-29
0001099910-23-000050	1	Nelson Zambrana	CEO	2023-03-27
0001669191-23-000298	3	David Summers	Principal Accounting Officer	2023-03-29
0001669191-23-000298	1	Dusten Nelson	Principal Executive Officer	2023-03-29
0001669191-23-000298	2	David Summers	Principal Financial Officer	2023-03-29
0001669191-23-000298	4	Dusten Nelson	Board Member	2023-03-29
0001669191-23-000298	5	David Summers	Board Member	2023-03-29
