ACCESSION_NUMBER	ID	ISSUER	ISSUERSIGNATURE	ISSUERTITLE
0001670254-23-000273	1	Expert Dojo, Inc.	Brian Mac Mahon	Founder & CEO
0001665160-23-000520	1	Big Derby Distilling Co.	Jason Parker	President
0001914960-23-000002	1	Victor Energy LLC	Michael W. Wellet	CEO
0001746059-23-000080	1	Wicked BOLD LLC	Deric Cahill	Owner and Founder
0001746059-23-000079	1	Coche Payaso LLC	Thomas Olsen	Managing Partner
0001934804-23-000001	1	Frankie's Story LLC	Ashley Bratcher	CEO
0001669191-23-000305	1	CliqRex Inc.	James  O'Loughlin	Principal Executive Officer
0001963810-23-000002	1	Mobile Wellness Support LLC	Kelly Jackson	CEO
0001746059-23-000078	1	Little Mutants Fermentary Co., LLC	Cullen Farrell	Owner and CoFounder
0001644600-23-000054	1	Sweater Inc	Jesse Randall	CEO
0001781973-23-000001	1	Sircles Media, Inc.	John David Worthington	Chief Executive Officer
0001670254-23-000272	1	Tucson Tamale Company	Todd Martin	Co-Founder, EVP
0001527854-23-000002	1	Brooklyn Craft Works LLC	Angel Joseph Santos	Manager, Co-Chief Executive Officer, Co-Founder
0001670254-23-000271	1	Bula Technologies, Inc.	Jack Booty	Co-Founder
0001665160-23-000517	1	Athelytix Inc.	Stephen D Rosen	Board Chairman, CEO and Principal Accounting Officer
0001897616-23-000002	1	Fugitive Media Inc	Stacey Book	Chief Executive Officer
0001897616-23-000001	1	Fugitive Media Inc	Stacey Book	Chief Executive Officer
0001971368-23-000002	1	Sol Pepper Co	Eric Corbin	CEO
0001971776-23-000001	1	Wholly Broken Series LLC	/s/ Thomas Humbert	Owner and Manager
0001741454-23-000002	1	Lonerider Spirits, LLC	Chris Mielke	Managing Member
0001876413-23-000009	1	I HAVE A DREAM HOME, LLC	Duane A. Quamina	President & CEO
0001971629-23-000001	1	Uzuri Vending Box, LLC	Kainesha Hodge	CEO
0001780409-23-000001	1	StyleRow Design Corp.	Erinn Valencich	Chief Executive Officer
0001665160-23-000512	1	MARCo Health Inc.	Jacob Boyle	CEO
0001878148-23-000002	1	Four Screens Production Inc	Messiah Jacobs	CEO
0001780409-23-000002	1	StyleRow Design Corp.	Erinn Valencich	Chief Executive Officer
0001644600-23-000052	1	Blokable, LLC	Nelson Del Rio	Co CEO
0001213900-23-024699	1	Jorge Aldecoa	/s/ Jorge Aldecoa	Chief Executive Officer
0001768309-23-000001	1	Jumpstart Main Street Corp	/s/ Adam Brandley	CEO
0001669191-23-000300	1	MicroMGx, Inc.	Jack Kloeber	Principal Executive Officer
0001746059-23-000077	1	Feathered Serpent Brewery, LLC	Aurelio Ramirez	Owner and Founder
0001833098-23-000001	1	Diamante Blockchain LLC	Dinesh Patel	CEO
0001948360-23-000002	1	crwdunit, inc.	Sean Brehm	Chief Executive Officer
0001096906-23-000678	1	Transfoam, LLC	/s/ Kobe Rogers	COO, Director
0001746059-23-000076	1	Feathered Serpent Brewery, LLC	Aurelio Ramirez	Owner and Founder
0001809210-23-000001	1	edify.ai, Inc	Cory J. Linton	Chief Executive Officer
0001944335-23-000001	1	ACFN Franchised Inc.	Jeffrey D. Kerr	Founder & Chief Executive Officer
0001970491-23-000001	1	Its Baked Baby LLC	Dianna Palmer	CEO
0001665160-23-000509	1	Pashion Footwear Inc.	Haley Pavone	CEO, President Director
0001493152-23-009625	1	Chandanni Organics Inc.	Chandanni Miglino	CEO
0001665160-23-000508	1	Koena Bev Holdings, Inc.	John Bullinger	CEO and Board Member
0001665160-23-000499	1	Virtuix Holdings Inc	Jan Goetgeluk	CEO
0001670254-23-000264	1	Grai.io Inc.	Ian Eaves	Founder & CEO
0001946028-23-000001	1	Straat100, LLC	Nanne Dekking	Principal
0001096906-23-000674	1	Smart Pay Solutions LLC	/s/ Michael J. Lasky	CEO of the Manager
0001665160-23-000501	1	Alpha Motor Corporation	Edward Yoon Lee	CEO
0001665160-23-000503	1	SanMelix Laboratories, Inc.	Diana Sabacinski	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001670254-23-000269	1	Live Pacha, LLC	Adam Hiner	CEO
