ACCESSION_NUMBER	ID	ISSUER	ISSUERSIGNATURE	ISSUERTITLE
0001665160-22-002571	1	MaxTracker, Inc.	Steven Maxey	CEO, President, Director, and Principal Financial Officer
0001665160-22-002570	1	MARCo Health, Inc	Jacob Boyle	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-22-002569	1	CMPD Wealth, Corp.	Andrew Glaze	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001669191-22-000933	1	Digital Direct IR, Inc.	Peter Kaufman	Principal Executive Officer
0001665160-22-002568	1	PURPOSEENERGY INC	Eric Fitch	CEO, President, Treasurer, Secretary, and Director
0001665160-22-002567	1	CIRQ PLUS, INC.	Yani Deros	CEO and Chairman of the Board
0001665160-22-002565	1	Propzie, Inc.	Daniel Detoni	CEO, President, and Principal Accounting Officer
0001858449-22-000005	1	Mediloq, Inc.	Daniel Estoque	CEO
0001665160-22-002561	1	Einstok Beer Co.	David R. Altshuler	CEO, CFO, & Chairman of the Board of Directors
0001670254-22-001013	1	KTD, LLC d/b/a Homeshake	Nick Rabin	Founder and CEO
0001907816-22-000007	1	HBCU Hub	Jonathan Swindell	Founder
0001665160-22-002560	1	Eli Electric Vehicles, Inc.	Binhan (Marcus) Li	Founder, CEO, Director
0001948590-22-000002	1	Spiel Nacht LLC	Walker Fitzroy	President
0001670254-22-001011	1	Atakama Inc.	Daniel H. Gallancy	CEO
0001666102-22-000020	1	Tai Chi Yoga, LLC	John C Neubauer	Founder & CEO
0001811504-22-000002	1	Tomo Technologies, Inc.	Joseph Blanch	Chief Executive Officer
0001665160-22-002559	1	ActivArmor LLC	Diana Hall	President & CEO
0001746059-22-000362	1	Stonehedge PBC	Richard Lane	Owner and CoFounder
0001936579-22-000001	1	healhaus llc	Darian Hall	Co-Founder
0001821324-22-000002	1	Disruptive Multimedia, Inc.	Anthony Ryan Leslie	Chief Executive Officer
0001644600-22-000123	1	Beast Brands, Inc.	John Cascarano	Chief Executive Officer
0001421744-22-000011	1	Cytonics Corp	Gaetano Scuderi	Founder & Chairman of the Board
0001665160-22-002557	1	FloSpine Holdings, Inc.	Peter Harris	President, CEO, Director, and Corporate Treasurer
0001944929-22-000001	1	Mayes Clothing Co of New York City, LLC	Brandy Wykes	President
0001669191-22-000931	1	ChipBrain LLC	Patrick Cahill	President
0001665160-22-002551	1	Scooterson, Inc.	Mihnea Iustinian Chis	CEO, Principal Executive Officer, and Director, Principal Financial Officer, and Principal Accounting Officer
0001665160-22-002549	1	metaMedia Inc.	Dele Atanda	CEO, Principal Executive Officer and Director
0001665160-22-002548	1	GameIQ, Inc.	Balazs Wellisch	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001665160-22-002547	1	FingoPay, LLC	Brad Price	CEO, Principal Executive Officer and Director, Principal Financial Officer, and Principal Accounting Officer
0001665160-22-002542	1	WonderSpray, Inc.	David Akerman	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-22-002539	1	Swabbies Tech, Inc.	Carman Cook	CEO, Principal Executive Officer and Director
0001665160-22-002543	1	nVIAsoft Corp	Bernard Garcia	Founder and CEO
0001665160-22-002540	1	Metallum3D, Inc.	Nelson Zambrana	CEO, CTO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-22-002553	1	Rumble Motors, Inc.	Reza Khademi	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001670254-22-001008	1	Trade Street Jam Co.	Ashley Rouse	Founder & CEO
0001665160-22-002555	1	A7FL Inc	Sener Korkusuz	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-22-002554	1	Crowns & Hops, Inc.	Beny Ashburn	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
