ACCESSION_NUMBER	ID	PERSONSIGNATURE	PERSONTITLE	SIGNATUREDATE
0001665160-22-002571	2	James Dotter	CTO, COO and Director	2022-09-30
0001665160-22-002571	1	Steven Maxey	CEO, President, Director, and Principal Financial Officer	2022-09-30
0001665160-22-002570	1	Jacob Boyle	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-09-30
0001665160-22-002569	1	Andrew Glaze	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2022-09-30
0001665160-22-002569	2	Caleb King	COO	2022-09-30
0001669191-22-000933	1	Peter Kaufman	Principal Executive Officer	2022-09-30
0001669191-22-000933	2	Peter Kaufman	Principal Financial Officer	2022-09-30
0001669191-22-000933	3	Peter Kaufman	Principal Accounting Officer	2022-09-30
0001669191-22-000933	4	Peter Kaufman	Board Member	2022-09-30
0001665160-22-002568	3	Michael Sununu	Director	2022-09-30
0001665160-22-002568	2	John Keane	Director	2022-09-30
0001665160-22-002568	1	Eric Fitch	CEO, President, Treasurer, Secretary, and Director	2022-09-30
0001665160-22-002567	3	Anton Steenman	Director	2022-09-30
0001665160-22-002567	1	Yani Deros	CEO and Chairman of the Board	2022-09-30
0001665160-22-002567	2	Jodi Deros	Principal Accounting Officer	2022-09-30
0001665160-22-002565	2	Yariela Carrizo	Secretary	2022-09-30
0001665160-22-002565	1	Daniel Detoni	CEO, President, and Principal Accounting Officer	2022-09-30
0001858449-22-000005	1	Daniel Estoque	CEO	2022-09-30
0001665160-22-002561	2	Kimberly A. Hoffman	Sr. VP & Director	2022-09-30
0001665160-22-002561	1	David R. Altshuler	CEO, CFO, & Chairman of the Board of Directors	2022-09-30
0001670254-22-001013	1	Luke Williams	Board Member	2022-09-30
0001670254-22-001013	2	Kevin P Riley	Treasurer	2022-09-29
0001670254-22-001013	3	Nick Rabin	Founder and CEO	2022-09-29
0001907816-22-000007	1	Pierre Le Veaux II	CEO	2022-09-30
0001665160-22-002560	2	Cody Dumont	Managing Director	2022-09-30
0001665160-22-002560	1	Binhan (Marcus) Li	Founder, CEO, Director	2022-09-30
0001948590-22-000002	1	Walker Fitzroy	President	2022-09-30
0001670254-22-001011	2	Daniel H. Gallancy	CEO	2022-08-31
0001670254-22-001011	1	Dimitri Nemirovsky	COO	2022-08-31
0001666102-22-000020	1	John C Neubauer	Founder & CEO	2022-09-29
0001811504-22-000002	1	Joseph Blanch	Director	2022-09-30
0001665160-22-002559	1	Diana Hall	President & CEO	2022-09-30
0001746059-22-000362	1	Richard Lane	Owner and CoFounder	2022-09-30
0001936579-22-000001	2	Elisa Shankle	Co-Founder	2022-09-30
0001936579-22-000001	1	Darian Hall	Co-Founder	2022-09-30
0001821324-22-000002	1	Anthony Ryan Leslie	Director	2022-09-30
0001821324-22-000002	3	Conor O'Mahony	Director	2022-09-30
0001821324-22-000002	2	Julie Maples	Director	2022-09-30
0001644600-22-000123	2	Mark Graffagnini	Director, Chairman, Secretary	2022-09-30
0001644600-22-000123	5	Judy Sindecuse	Director	2022-09-30
0001644600-22-000123	1	John Cascarano	Chief Executive Officer	2022-09-30
0001644600-22-000123	3	Nicholas Callais	Director	2022-09-30
0001644600-22-000123	4	Randall Howard	Director	2022-09-30
0001421744-22-000011	4	Tracey Goeken	CEO & President	2022-04-06
0001421744-22-000011	1	Gaetano Scuderi	Founder & Chairman of the Board	2022-04-06
0001421744-22-000011	2	Joey Bose	CEO & President	2022-04-06
0001421744-22-000011	3	Phil LoGrasso	CEO & President	2022-04-06
0001421744-22-000011	5	Gordon Ramseier	CEO & President	2022-04-06
0001665160-22-002557	1	Peter Harris	President, CEO, Director, and Corporate Treasurer	2022-09-29
0001665160-22-002557	2	Waldi Harris	Director of Administration/Principal Accounting Officer	2022-09-29
0001944929-22-000001	1	Brandy Wykes	President	2022-09-30
0001669191-22-000931	3	Arnold Scott	Board Director	2022-08-31
0001669191-22-000931	2	John Fanning Jr.	Board Director	2022-08-31
0001669191-22-000931	1	Patrick Cahill	Board Director	2022-08-31
0001665160-22-002555	1	Sener Korkusuz	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-09-29
0001670254-22-001008	1	Ashley Rouse	Founder & CEO	2022-09-29
