ACCESSION_NUMBER	ISAMENDMENT	PROGRESSUPDATE	NATUREOFAMENDMENT	NAMEOFISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	ISSUERWEBSITE	COMPANYNAME	ISCOISSUER	COMMISSIONCIK	COMMISSIONFILENUMBER	CRDNUMBER
0001670254-23-000273	0			Expert Dojo, Inc.	Corporation		CA	2015-01-02	Expert DOJO Unit 308	395 Santa Monica P	Santa Monica	CA	90401	http://www.expertdojo.com		N			
0001665160-23-000520	0			Big Derby Distilling Company	Corporation		WA	2011-01-13	1250 Alaskan Way		Seattle	WA	98101	www.copperworksdistilling.com		N			
0001914960-23-000002	0			Victor Energy LLC	Limited Liability Company		NJ	2021-10-22	100 FRANKLIN SQUARE DRIVE	SUITE 200	SOMERSET	NJ	08873	whitmanco.com		N			
0001746059-23-000080	1		Issuer is extending the deadline to make an investment. Issuer is also amending a typographical error on the SAFE agreement.	Wicked BOLD LLC	Limited Liability Company		TX	2019-09-18	3347 LONG PRAIRIE RD		FLOWER MOUND	TX	75022	http://www.wickedbold.com/	MainVest, Inc.	N	0001746059	007-00162	
0001746059-23-000079	0			Coche Payaso LLC															
0001934804-23-000001	0			Frankie's Story LLC	Limited Liability Company		GA	2020-03-09	2550 SANDY PLAINS RD	SUITE 225-263	MARIETTA	GA	30066	https://www.pharmathemovie.com	VAS Portal, LLC	N	0001749383	007-00165	298941
0001669191-23-000305	0		the issuer extended the offering deadline and updated 2022 financials.	CliqRex Inc.	Corporation		DE	2022-01-20	1569 Hollywood Ave		Cincinnati	OH	45224	https://cliqrex.com	NetCapital Funding Portal Inc.	N	0001669191	007-00035	283596
0001963810-23-000002	0		Amending deadline for target offering	Mobile Wellness Support LLC	Limited Liability Company		FL	2016-03-21	7950 66TH AVE		VERO BEACH	FL	32967	https://indianriverpioneerfarms.com/	Honeycomb Portal LLC	N	0001705726	007-00119	289015
0001746059-23-000078	0			Little Mutants Fermentary Co., LLC	Limited Liability Company		PA	2021-04-15	1879 COMMERCE PARK E		LANCASTER	PA	17601	http://drinkmutants.com	MainVest, Inc.	N	0001746059	007-00162	
0001644600-23-000054	0		Extending the offering date to April 30th 2023.	Sweater Inc	Corporation		DE	2022-01-23	520 MOUNT RAINIER STREET		BERTHOUD	CO	80513	https://www.sweaterventures.com/	DALMORE GROUP LLC	Y	0001332099	008-67002	000136352
0001781973-23-000001	0			Sircles Media, Inc.	Corporation		DE	2019-12-15	1590 HOWE AVE		SACRAMENTO	CA	95825	http://www.sircles.com		N			
0001670254-23-000272	0	The final number is $478,438.00 in investments.		Tucson Tamale Company	Corporation		DE	2008-06-27	2550 N Dragoon St #120		Tucson	AZ	85745	http://tucsontamale.com	Wefunder Portal LLC	N	0001670254	007-00033	283503
0001527854-23-000002	0	The offering failed to reach the target offering amount of $50,000 by the deadline. All investment commitments were cancelled and funds returned to prospective investors.		Brooklyn Craft Works LLC	Limited Liability Company		FL	2011-12-09	316 DOUGLASS STREET	APT. A-1D	BROOKLYN	NY	11217	https://www.brooklyngin.com/	OpenDeal Portal LLC	N	0001751525	007-00167	283874
0001670254-23-000271	1		Increasing maximum target.	Bula Technologies, Inc.	Corporation		DE	2021-01-10	1830 Meridian Ave	Apt 803	Miami Beach	FL	33139	http://www.bulachallenge.com	Wefunder Portal LLC	Y	0001670254	007-00033	283503
0001665160-23-000517	0			Athelytix Inc.	Corporation		DE	2017-01-31	10333 Avenida Magnifica		San Diego	CA	92131	https://athelytix.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001897616-23-000002	0			Fugitive Media Inc	Corporation		CA	2018-03-27	9316 GREGORY WAY		BEVERLY HILLS	CA	90212	https://frequencymachine.com		N			
0001897616-23-000001	0			Fugitive Media Inc	Corporation		CA	2018-03-27	9316 GREGORY WAY		BEVERLY HILLS	CA	90212	https://frequencymachine.com		N			
0001971368-23-000002	0			Sol Pepper Co	Limited Liability Company		PA	2018-06-07	725 ALLEN AVE		MONACA	PA	15061	www.mezcladosauce.com	Honeycomb Portal LLC	N	0001705726	007-00119	289015
0001971776-23-000001	0			Wholly Broken Series LLC	Limited Liability Company		NY	2021-07-23	26 PROSPECT AVE		GARDEN CITY	NY	11530	https://www.whollybroken.com/	WeVidIt, Inc.	N	0001883789	007-00328	317216
0001741454-23-000002	0			Lonerider Spirits, LLC	Limited Liability Company		NC	2018-05-02	8816 Gulf Court	Suite 100	Raleigh	NC	27617	www.loneriderspirits.com		N			
0001876413-23-000009	0		Inserted 2022 Audited Financial Statements	I HAVE A DREAM HOME, LLC	Limited Liability Company		WY	2021-07-28	1309 COFFEEN AVENUE STE 1200		SHERIDAN	WY	82801	https://www.ihaveadreamhome.gold/	ANDES CAPITAL GROUP, LLC	N	0001348811	008-67202	000139212
0001971629-23-000001	0			Uzuri Vending Box, LLC	Limited Liability Company		FL	2020-06-15	2725 RICHARD RD		ORANGE PARK	FL	32073	www.uzuribeautysupply.com	Honeycomb Portal LLC	N	0001705726	007-00119	289015
0001780409-23-000001	0			StyleRow Design Corp.	Corporation		DE	2017-08-18	250 1/2 NORTH LA PEER DRIVE		BEVERLY HILLS	CA	90211	www.stylerow.com		N			
0001665160-23-000512	0			MARCo Health, Inc	Corporation		DE	2018-02-07	56 Sage Court		Bedminster	NJ	07921	https://www.marcohealthtech.com		N			
0001878148-23-000002	0			Four Screens Production Inc	Corporation		CA	2010-03-10	14838 NORDHOFF STREET		PANORAMA CITY	CA	91402	4-screens.com		N			
0001780409-23-000002	0			StyleRow Design Corp.	Corporation		DE	2017-08-18	250 1/2 NORTH LA PEER DRIVE		BEVERLY HILLS	CA	90211	www.stylerow.com		N			
0001644600-23-000052	0			Blokable, LLC	Limited Liability Company		DE	2020-12-29	1750 CREEKSIDE OAKS DR STE 130		SACRAMENTO	CA	95833	www.blokable.com	StartEngine Capital LLC	N	0001665160	007-00007	136352
0001213900-23-024699	1		Extend the deadline to meet the target offering amount June 30, 2023	reAlpha 612 Jasmine Lane Inc.	Corporation		DE	2023-01-26	6515 LONGSHORE LOOP	SUITE 100	DUBLIN	OH	43017	https://app.realpha.com/deals/jasmine	DEALMAKER SECURITIES LLC	N	0001872856	008-70756	315324
0001768309-23-000001	1		The purpose of this Amendment is to (i) extend the Closing Date; (ii) correct the outstanding securities of the Company; (iii) increase the Company's pre-money valuation; and (iv) update officers of the Company and their experience/background	Jumpstart Main Street Corp	Corporation		UT	2013-05-02	1508 W 1200 N		LAYTON	UT	84041	https://americasrealdeal.com/	VedasLabs, Inc.	N	0001768309	007-00188	304199
0001669191-23-000300	0		the issuer extended the offering deadline.	MicroMGx, Inc.	Corporation		DE	2015-07-20	3440 S Dearborn St.	Suite 144s	Chicago	IL	60616	https://www.micromgx.com	NetCapital Funding Portal Inc.	N	0001669191	007-00035	283596
0001746059-23-000077	0		Issuer added a video to their investor pitch content.	Feathered Serpent Brewery, LLC	Limited Liability Company		CA	2018-04-10	15834 MAIN ST		LA PUENTE	CA	91744	http://www.featheredserpentbrewery.com	MainVest, Inc.	N	0001746059	007-00162	
0001833098-23-000001	0			Diamante Blockchain LLC	Corporation		DE	2018-04-24	15621 W 87TH ST PKWY	SUITE#146	LENEXA	KS	66219	www.diamanteblockchain.com		N			
0001948360-23-000002	0		The issuer is increasing the minimum purchase amount to $250	crwdunit, inc.	Corporation		DE	2022-07-29	10815 RANCH ROAD 2222	BUILDING 3B, SUITE 100-527	AUSTIN	TX	78730	crowdpointtech.com	MUNDIAL FINANCIAL GROUP, LLC	N	0001455325	008-68154	000149531
0001096906-23-000678	0		To extend ending date	Transfoam, LLC	Limited Liability Company		VA	2020-03-30	12100 SERENITY PL		NOKESVILLE	VA	20181-3645	https://ourobio.com/	Round Here, LLC	Y	0001844904	007-00284	313211
0001746059-23-000076	0			Feathered Serpent Brewery, LLC	Limited Liability Company		CA	2018-04-10	15834 MAIN ST		LA PUENTE	CA	91744	http://www.featheredserpentbrewery.com	MainVest, Inc.	N	0001746059	007-00162	
0001809210-23-000001	0			edify.ai, Inc	Corporation		DE	2018-05-31	669 SOUTH WEST TEMPLE, SUITE 222		SALT LAKE CITY	UT	84101	http://www.edify.ai		N			
0001944335-23-000001	0	The Offering closed successfully on 3/23/2023, having received investment commitments of $276,681.18, although a final accounting has not taken place.		ACFN Franchised Inc.	Corporation		CA	2002-10-03	4 NORTH 2ND STREET		SAN JOSE	CA	95113	www.atmfranchise.com	OpenDeal Portal LLC	N	0001751525	007-00167	283874
0001970491-23-000001	0			Its Baked Baby LLC	Limited Liability Company		GA	2022-06-02	207 MERRITTS AVE NW		ATLANTA	GA	30313	www.itsbakedbaby.com	Honeycomb Portal LLC	N	0001705726	007-00119	289015
0001665160-23-000509	0			Pashion Footwear Inc.	Corporation		DE	2017-08-30	2950 Broad Street #1030		San Luis Obispo	CA	93401	http://pashionfootwear.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001493152-23-009625	0			Chandanni Organics Inc	Corporation		DE	2022-10-07	3625 East Thousand Oaks Blvd. Suite 218		Westlake	CA	91362	https://chandanni.com	CASTLE PLACEMENT	N	0001638202	008-69612	000189511
0001665160-23-000508	0			Koena-Bev Holdings, Inc.	Corporation		DE	2022-11-07	33 S. Main St., Suite 300		Alpharetta	GA	30009	https://www.yeyotequila.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001670254-23-000264	0			Grai.io Inc.	Corporation		DE	2021-05-14	8 The Green, STE 4000		Dover	DE	19901	https://www.grai.io	Wefunder Portal LLC	Y	0001670254	007-00033	283503
0001096906-23-000674	0			Smart Pay Solutions LLC	Limited Liability Company		OR	2022-12-12	1750 SW SKYLINE BLVD. #25		PORTLAND	OR	97221	http://smartpaykiosk.com	CASTLE PLACEMENT, LLC	N	0001638202	008-69612	000189511
0001665160-23-000501	0			Alpha Motor Corporation	Corporation		DE	2020-08-20	9551 Irvine Center Drive		Irvine	CA	92618	https://www.alphamotorinc.com/		N			
0001665160-23-000503	0			SanMelix Laboratories, Inc.	Corporation		DE	2017-01-13	525 Lago Matisse Street		Poinciana	FL	34759	www.sanmelixlaboratories.com		N			
0001665160-23-000499	0			Virtuix Holdings Inc.	Corporation		DE	2013-12-20	1826 Kramer Lane STE H		Austin	TX	78758	www.virtuix.com		N			
0001670254-23-000269	0			Live Pacha, LLC	Limited Liability Company		CA	2020-06-04	2560 Progress Street	Suite C	Vista	CA	92081	https://livepacha.com	Wefunder Portal LLC	Y	0001670254	007-00033	283503
0001670254-23-000267	0			Sekr, Inc.	Corporation		CA	2018-09-21	3960 West Point Loma Blvd. Ste. H PMB 11	Attn: Skr	San Diego	CA	92110	https://sekr.com/home	Wefunder Portal LLC	Y	0001670254	007-00033	283503
0001936096-23-000001	0	The Offering did not reach its minimum and is now closed. All investors have been refunded.		Chewbox Inc.	Corporation		DE	2021-05-17	1200 ALA MOANA BLVD	SECOND FLOOR	HONOLULU	HI	96814	www.chewbox.com	Seed at the Table	N	0001808131	007-00230	005548762
0001946028-23-000001	0			Straat100, LLC															
0001951952-23-000002	1		This material amendment is filed to 1) extend the Offering Deadline to April 30, 2023, 2) update the valuation on the existing Crowd SAFE, 3) update the name of the Nominee on Exhibit A, of the Crowd SAFE. See Form C for further disclosure.	Easy Expense Tracker Inc	Corporation		DE	2022-07-21	401 E 8TH ST	STE 214 PMB 7863	SIOUX FALLS	SD	57103	https://easy-expense.com	OpenDeal Portal LLC	N	0001751525	007-00167	283874
0001665160-23-000497	0		Issuer is moving their end date closer	FibroBiologics, Inc.	Corporation		DE	2021-04-08	455 E. Medical Center Blvd, Suite 300		Houston	TX	77598	https://fibrobiologics.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001966532-23-000001	0			Stronger Faster Boulder Co.	Corporation		CO	2017-12-18	645 TENACITY DRIVE	UNIT E	LONGMONT	CO	80504	www.boulderthon.org	SMBX, Inc.	N	0001707214	007-00129	290186
0001099910-23-000050	0			Metallum3D, Inc.	Corporation		DE	2016-03-14	2405 GRANITE RIDGE RD	UNIT B	ROCKVILLE	VA	23146	www.metallum3d.com		N			
0001669191-23-000298	0		the issuer extended the offering deadline.	Recovering Bro Inc.	Corporation		DE	2021-02-18	1440 N. Dayton St.	LL04	Chicago	IL	60642	https://recoveringbro.com	NetCapital Funding Portal Inc.	N	0001669191	007-00035	283596
0001669191-23-000297	0		the issuer added a new pitch video and updated the market size figure.	Metaiye Media Inc	Corporation		WY	2019-08-30	600 Fifth Avenue	2nd	New York	NY	10020	www.metaknyts.com	NetCapital Funding Portal Inc.	N	0001669191	007-00035	283596
0001669191-23-000296	0		the issuer extended the offering deadline.	IT Security Solutions, Inc.	Corporation		DE	2018-06-12	313 Oakmont Drive		Pittsburgh	PA	15229	https://it-security-solutions.com	NetCapital Funding Portal Inc.	N	0001669191	007-00035	283596
0001971121-23-000001	0			True Blue Bakery LLC	Limited Liability Company		PA	2020-02-24	324C MAIN ST		ROYERSFORD	PA	19468	www.truebluebakery.com	SMBX, Inc.	N	0001707214	007-00129	290186
0001669191-23-000291	0			LUCYDX LLC	Limited Liability Company		DE	2021-02-23	254 Chapman Rd	Ste 208 #4847	Newark	DE	19702	www.lucydx.co	NetCapital Funding Portal Inc.	N	0001669191	007-00035	283596
0001665160-23-000495	0			Kidskin Inc.															
0001665160-23-000494	0			Mighty Heights, Inc.															
0001903596-23-000227	0			il2m INTERNATIONAL CORP.	Corporation		NV	2010-06-08	1333 N BUFFALO DR	SUITE 210	Las Vegas	NV	89128	www.ILIMmerger.com		N			
0001665160-23-000493	0			Christini EV, Inc.															
0001670254-23-000263	1		New lead investor.	Bow Wow Labs, Inc	Corporation		DE	2017-01-03	448 Ignacio Blvd, #506		Novato	CA	94949	http://www.bowwowlabs.com	Wefunder Portal LLC	Y	0001670254	007-00033	283503
0001665160-23-000492	0			Bella Rio Consulting, Inc.	Corporation		IL	2015-06-29	400 Riverside Rd		Belvidere	IL	61008	https://www.rocknvodkas.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001895725-23-000001	0			Referrizer, LLC	Limited Liability Company		FL	2013-10-31	7860 W COMMERCIAL BLVD	#741	LAUDERHILL	FL	33351	https://referrizer.com		N			
0001896757-23-000001	0			Halen Technologies Inc.															
0001665160-23-000491	0			Ortek Therapeutics, Inc.	Corporation		DE	1998-03-20	4 Expressway Plaza, Suite 206		Roslyn Heights	NY	11577	http://ortekinc.com		N			
0001895725-23-000002	0			Referrizer, LLC	Limited Liability Company		FL	2013-10-31	7860 W COMMERCIAL BLVD	#741	LAUDERHILL	FL	33351	https://referrizer.com		N			
0001665160-23-000489	0			Brand3d, Inc.	Corporation		DE	2022-03-15	9936 Stockbridge Dr		Tampa	FL	33626	http://brand3d.com		N			
0001747584-23-000013	0	The issuer closed on $19,300 of SAFEs. The funding portal was granted $380 of securities as compensation. Raise Green was granted $1,000 in additional compensation for a Form C/A Material Change.		Green Island EV Corp.	Corporation		DE	2021-08-10	24 4TH STREET	SUITE 46D	TROY	NY	12180	greenislandev.com	Raise Green, Inc.	N	0001747584	007-00191	301770
0001670254-23-000261	0			Eskala, Inc.	Other	Public Benefit Corporation	DE	2020-10-16	7339 Madison Street		Forest Park	IL	60130	http://www.eskala.org	Wefunder Portal LLC	N	0001670254	007-00033	283503
0001747584-23-000014	0	The issuer closed on $250,000 of debt notes.		CGB Green Liberty Notes LLC	Limited Liability Company		CT	2021-10-15	75 CHARTER OAK AVENUE	SUITE 1-103	HARTFORD	MA	06106	invest.ctgreenbank.com	Raise Green, Inc.	N	0001747584	007-00191	301770
0001855022-23-000002	0			CAPITALIS GROUP, INC	Corporation		DE	2020-11-17	43 W 23rd St	Ste 1201	New York	NY	10010	http://www.capitalis.group/	Silicon Prairie Online LLC	N	0001711770	007-00123	289746
0001665160-23-000487	0			Hang Obi, Inc.	Corporation		DE	2020-12-14	22 King Street Apt 22		New York	NY	10014	https://hangobi.com/		N			
0001669191-23-000283	0		the issuer extended the offering deadline.	COPYTRACK Technologies Inc.	Corporation		DE	2022-08-04	8 The Green	Ste 300	Dover	DE	19901	https://www.copytrack.com	NetCapital Funding Portal Inc.	N	0001669191	007-00035	283596
0001669191-23-000282	0		the issuer extended the offering deadline.	Hospy Inc.	Corporation		DE	2022-05-04	2300 Repsdorph Street	#2102	Seabrook	TX	77586	https://hospyjobs.com	NetCapital Funding Portal Inc.	N	0001669191	007-00035	283596
0001669191-23-000285	0		the issuer extended the offering deadline.	Kazoo LLC	Limited Liability Company		DC	2019-04-01	3034 Dent Place NW		Washington	DC	20007	https://kazoo.ai	NetCapital Funding Portal Inc.	N	0001669191	007-00035	283596
