ACCESSION_NUMBER	ID	PERSONSIGNATURE	PERSONTITLE	SIGNATUREDATE
0001665160-22-003147	1	Steve McCloud	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-12-30
0001665160-22-003146	1	Rahul Goyal	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2022-12-30
0001665160-22-003145	1	Sandra W. Marlowe	Chief Executive officer and Chairman of the Executive Board, Principal Financial Officer and Principal Accounting Officer.	2022-12-30
0001746059-22-000440	1	Brandon Lynch	Owner and CEO	2022-12-30
0001527854-22-000006	2	Leif Emil Jattne	Manager, Co-Chief Executive Officer, Co-Founder	2022-12-30
0001527854-22-000006	1	Angel Joseph Santos	Manager, Co-Chief Executive Officer, Co-Founder	2022-12-30
0001746059-22-000439	1	Brandon Lynch	Owner and CEO	2022-12-30
0001958652-22-000001	1	Lauren Brown	CEO	2022-12-30
0001958996-22-000001	2	James Hirsch	Chief Operating Officer	2022-12-30
0001958996-22-000001	1	Victoria O'Connell	Director	2022-12-30
0001931543-22-000007	1	Cindy Adam	Director	2022-12-30
0001931543-22-000007	2	Nitin Rai	Director	2022-12-30
0001821982-22-000017	1	Kyle Sims	Manager	2022-12-30
0001665160-22-003144	4	Ray Chan	Director	2022-12-30
0001665160-22-003144	1	Michael Chu	CEO and Co-Founder	2022-12-30
0001665160-22-003144	2	Stephen Young	CFO	2022-12-30
0001665160-22-003144	3	Greg Buchert	Director	2022-12-30
0001911149-22-000001	1	Samantha Scott	Director	2022-12-30
0001940275-22-000001	5	Luisa Fernanda Sugisawa Gil	Secretary of the Board, Director	2022-12-30
0001940275-22-000001	4	Richard Joye	Chairman, Director	2022-12-30
0001940275-22-000001	2	Jean-Daniel Sciboz	Chief Administrative Officer and Interim Chief Operating Officer	2022-12-30
0001940275-22-000001	3	Alejandro Sanchez	Chief Marketing Officer	2022-12-30
0001940275-22-000001	1	Jose Escuredo Roldan	Chief Executive Officer	2022-12-30
0001875534-22-000007	1	Billy Carson by Sean Fuellhart POA	CEO	2022-12-30
0001957139-22-000004	1	Sandra Deaguero	CEO	2022-12-30
0001796106-22-000003	1	Alex Bayer	Managing Member	2022-12-30
0001722137-22-000009	1	Ezra Goldman	Chief Executive Officer, Director	2022-12-29
0001755802-22-000003	1	Garrett Green	CEO	2022-12-29
0001746059-22-000438	1	Eric Trueheart	Owner and CEO	2022-12-29
0001665160-22-003140	2	Kim Rosenberg	CEO	2022-12-29
0001665160-22-003140	1	Joseph Rosenberg	President and principal accounting officer	2022-12-29
0001665160-22-003138	1	Trina Wyatt	CEO and Director (acting in the principal financial office role)	2022-12-29
0001665160-22-003136	2	Robert Siegel	President & Chief Medical Officer	2022-12-29
0001665160-22-003136	1	Ameer Youssef	CEO	2022-12-29
0001899900-22-000008	1	/s/ Lynne Koenigsberg	President/CEO	2022-12-21
0001665160-22-003135	1	Matt Eau Claire	CEO and Manager	2022-12-29
0001665160-22-003133	1	Todd Thompson	CEO, CFO/Principal Accounting Officer	2022-12-29
