ACCESSION_NUMBER	ID	ISSUER	ISSUERSIGNATURE	ISSUERTITLE
0001665160-22-003147	1	Vorsheer INC	Steve McCloud	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-22-003146	1	Yubi Health, Inc.	Rahul Goyal	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-22-003145	1	Baqua Inc.	Sandra W. Marlowe	Chief Executive officer and Chairman of the Executive Board, Principal Financial Officer and Principal Accounting Officer.
0001746059-22-000440	1	Coastal Roots LLC	Brandon Lynch	Owner and CEO
0001527854-22-000006	1	Brooklyn Craft Works LLC	Angel Joseph Santos	Manager, Co-Chief Executive Officer, Co-Founder
0001746059-22-000439	1	Coastal Roots LLC	Brandon Lynch	Owner and CEO
0001958652-22-000001	1	T. Loren Studio Inc.	Lauren Brown	CEO
0001958996-22-000001	1	Golightly, Inc.	Victoria O'Connell	Chief Executive Officer
0001931543-22-000007	1	Choix, Inc.	Cindy Adam	Chief Executive Officer
0001821982-22-000017	1	North Cove Holdings, LLC	Kyle Sims	Manager
0001665160-22-003144	1	Makani Science Inc.	Michael Chu	CEO and Co-Founder
0001911149-22-000001	1	JuneBrain Inc.	Samantha Scott	Chief Executive Officer
0001940275-22-000001	1	Innovatly, Inc	Jose Escuredo Roldan	Chief Executive Officer
0001875534-22-000007	1	4BIDDENKNOWLEDGE, INC.	Billy Carson by Sean Fuellhart POA	CEO
0001957139-22-000004	1	Roots & Fruits Juicery Inc	Sandra Deaguero	CEO
0001796106-22-000003	1	Genius Juice, LLC	Alex Bayer	CEO
0001722137-22-000009	1	Upshift Inc.	Ezra Goldman	Chief Executive Officer
0001755802-22-000003	1	One Roq Spirits, LLC	Garrett Green	CEO
0001746059-22-000438	1	Black Yeti Beverage, Inc	Eric Trueheart	Owner and CEO
0001665160-22-003140	1	Grove Biomedical LLC	Joseph Rosenberg	President and principal accounting officer
0001665160-22-003138	1	Conscious Good, Inc	Trina Wyatt	CEO and Director (acting in the principal financial office role)
0001665160-22-003136	1	MedsByMe, Inc.	Ameer Youssef	CEO
0001899900-22-000008	1	Cheyenne Legends, Inc.	/s/ Lynne Koenigsberg	President/CEO
0001665160-22-003135	1	Clearwater Distilling Co LLC	Matt Eau Claire	CEO and Manager
0001665160-22-003133	1	Carnot Compression Inc.	Todd Thompson	CEO, CFO/Principal Accounting Officer
0001665160-22-003132	1	Avadi Engines Inc	Landon Wilkinson	CEO, President, Director
0001665160-22-003131	1	LitonRx, Inc.	Kishlay Anand	CEO, President and Director
0001665160-22-003130	1	Rayton Solar Inc.	Andrew Yakub	CEO and Director, Treasurer
0001935346-22-000004	1	Arka Inc	Phillip Akhzar	Chief Executive Officer, President and Sole Director
0001860436-22-000003	1	Maybe Finance, Inc.	Joshua Pigford	Chief Executive Officer
0001760726-22-000005	1	Jack Lilly LLC	Andrew Ferenci	Chief Executive Officer
0001948360-22-000004	1	crwdunit, inc.	Sean Brehm	Chief Executive Officer
0001665160-22-003129	1	BLOCKCHAIN INSTITUTE OF TECHNOLOGY INC.	George Levy	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001670450-22-000003	1	xCraft Enterprises, Inc.	Jerry Daniel Claridge	Co-founder and CEO
0001948360-22-000005	1	crwdunit, inc.	Sean Brehm	Chief Executive Officer
0001683168-22-008664	1	Cadi, Inc.	/s/ Tyler Gottstein	CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001821320-22-000002	1	Stojo Products, Inc.	Jurrien Swarts	CEO, Director
0001821320-22-000001	1	Stojo Products, Inc.	Jurrien Swarts	CEO, Director
0001665160-22-003128	1	Sofabet Co.	Aaron Basch	CEO, Treasurer and Director
0001665160-22-003127	1	iMetabolic Biopharma Corporation	Urban Austin Kiernan	Chairman, President, Treasurer and Principle Financial Officer
0001746059-22-000437	1	Coche Payaso LLC	Thomas Olsen	Managing Partner
0001876413-22-000006	1	ASSETCOIN CAPITAL FUND, LLC	Duane A. Quamina	President & CEO
0001665160-22-003125	1	Eli Electric Vehicles, Inc.	Binhan (Marcus) Li	Founder, CEO, Director
0001951831-22-000003	1	Bratton Construction, LLC	Sharon Maxwell	CEO
0001665160-22-003123	1	YOV, Inc.	Justin Harrison	CEO, Founder
0001527854-22-000004	1	Brooklyn Craft Works LLC	Angel Joseph Santos	Manager, Co-Chief Executive Officer, Co-Founder
0001746059-22-000436	1	Ostara Center LLC	Stuart Ginsburg	Owner and CoFounder
0001213900-22-082973	1	ChoiceTrade Holdings, Inc.	/s/ Neville Golvala	CEO
0001954540-22-000004	1	Quanta Centre Inc	Jeanine deVoogt DiMaria	Managing Director
0001683168-22-008650	1	Curtiss Motorcycle Company, Inc.	/s/ H. Matthew Chambers	CEO/President
0001811251-22-000002	1	RESTEASIEST.COM, INC.	Emily Cisek	CEO
0001746059-22-000435	1	Rooted in LLC	Brian Keith	Owner and CEO
0001665160-22-003121	1	MaxTracker, Inc	Steven Maxey	CEO, President, Director, and Principal Financial Officer
0001665160-22-003120	1	FloSpine Holdings, Inc.	Peter Harris	President, CEO, Director, and Corporate Treasurer
0001670254-22-001311	1	Prolific Brewing Company, LLC	Evan Kadow	Co-Founder / Chief Brewing Officer
0001941210-22-000002	1	SuperBetter, LLC	Keith Wakeman	CEO, Manager and Co-Founder
0001957139-22-000003	1	Roots & Fruits Juicery Inc	Sandra Deaguero	CEO
0001665160-22-003119	1	Christini EV, Inc.	Steven J. Christini	CEO and Board Director
0001953427-22-000001	1	Nobody Studios, Inc.	Mark McNally	Chief Executive Officer
0001746059-22-000434	1	MAINVEST HOLDINGS CORP.	Nicholas Mathews	CEO, MAINVEST HOLDINGS CORP.
0001670254-22-001309	1	Qnetic Corporation	Michael Pratt	Founder, CEO
0001592234-22-000008	1	Taylor's Tacos, LLC	Taylor Mason	CEO
0001592234-22-000007	1	Strip Steak LP	Fernando Navas	CEO
0001665160-22-003116	1	Boone's Bourbon Co.	Tyler Boone	CEO, CFO, President, Treasurer, and Director
0001957729-22-000001	1	Oplign, LLC	Jeff Gibson	COO
0001670254-22-001306	1	Resolution Bed, Inc.	Byron Wurdeman	Founder of ResBed
0001665160-22-003112	1	California Cowboy Apparel Inc.	Andrew Clark	CEO, Principal Executive Officer and Director for California Cowboy
0001665160-22-003111	1	Resilience-Building Leader Program Inc.	Dr. Gene Coughlin	President, CEO, Secretary, CFO
0001670254-22-001304	1	Unpublished Space LLC	Tobin Brogunier	Founder, CEO and Inventor of Virtual Storefronts
0001665160-22-003110	1	YouSolar, Inc.	Arnold Leitner	CEO, Director
0001665160-22-003109	1	Fanbase Social Media, Inc.	Isaac Hayes III	CEO, President, Secretary, Treasurer, Director
0001665160-22-003108	1	MVP Kids Media, Inc	Mel Sauder	President, current Principal Accounting Officer
0001669191-22-001179	1	BNNano, Inc.	Steve Wilcenski	Principal Executive Officer
0001669191-22-001178	1	PRIME DIVERSITY, INC.	Andrew Dillard	Principal Executive Officer
0001958686-22-000001	1	Sensory Health Inc	/s/ BEN HUDSON	CO-FOUNDER, CEO
0001670254-22-001302	1	NYCE Companies, Inc.	Philip Michael	CEO
0001944126-22-000001	1	STERLING RHINO CAPITAL EQUITY MULTIPLE CF FUND I LLC	/s/ Paul Wilcox	Manager
0001957139-22-000002	1	Roots & Fruits Juicery Inc	Sandra Deaguero	CEO
0001957139-22-000001	1	Roots & Fruits Juicery Inc	Sandra Deaguero	CEO
0001665160-22-003107	1	Clean Simple Foods, Inc.	Joshua Velasquez	CEO and Director
0001670254-22-001300	1	Rightstar Inc.	Christian Nielsen	CEO
0001665160-22-003106	1	AWOL OUTDOORS, INC.	Kevin F McGregor	CEO, Principal Executive Officer, and Director
0001665160-22-003105	1	Fisher Wallace Laboratories, Inc.	Kelly Roman	CEO, Director
0001670254-22-001298	1	Virtual World Computing LLC	Jeffrey C Bermant	CEO & Co-Founder
0001669191-22-001174	1	CureLab Veterinary Inc.	Robert Devlin	Principal Executive Officer
0001670254-22-001294	1	Teeccino Caffe, Inc.	Caroline MacDougall	Founder, Creator & CEO
0001670254-22-001296	1	Upshift Inc.	Ezra Goldman	CEO & co-founder
0001943603-22-000005	1	Maramy LLC	Natalie Navi	Managing Member
0001746059-22-000433	1	Petrolhead Cafe LLC	Kyle Mayer	Owner and Founder
0001952985-22-000002	1	Novatek Pharmaceuticals, Inc.	Mohamed Kaseb	CEO
0001670254-22-001293	1	Ceres Chill Co.	Lisa Myers	Founder and CEO
0001821982-22-000016	1	J. Johnson & Company, LLC	Jason Johnson	Managing Member
0001669191-22-001171	1	Above: Space Development Corporation	Rhonda Stevenson	Principal Executive Officer
0001958044-22-000001	1	Luxbeverage LLC	Alvise Pasqualetti	Chief Executive Officer
0001857547-22-000001	1	Harmony Global Foods, LLC	Christine Gregory	Member/Manager
0001644600-22-000149	1	Super Processor, Inc.	Michael W.K. Tsang	CEO
0001958971-22-000001	1	Rejuve LLC	Timothy Jackson	Managing Member
0001670254-22-001291	1	Finternet Technologies, Inc.	Manthan Shah	Co-Founder & Product
0001944999-22-000002	1	Durable Sustainability Inc.	Xavone CHarles	President
0001670254-22-001288	1	Highline Wellness Inc.	Christopher Roth	Founder/CEO
0001670254-22-001287	1	Apotheka Systems Inc.	Dennis Maliani	CEO
0001670254-22-001285	1	CircleIt Inc.	Art Shaikh	Founder & CEO
0001670254-22-001289	1	Lotus Tech Co.	Mikael Nida	Co-Founder & CEO
0001930496-22-000003	1	Flexpay LLC	/s/ Johnson Gituma	MANAGING DIRECTOR
0001665160-22-003104	1	Apis Cor Inc.	Anna Cheniuntai	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001957519-22-000004	1	Jet LLC	Chad Scarborough	FOUNDER AND CEO
0001592234-22-000006	1	Dinebrau LLC	Patricia Dine	Manager
0001665160-22-003103	1	TrueGen Health, Inc.	Frank Adamo	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
