ACCESSION_NUMBER	ID	ISSUER	ISSUERSIGNATURE	ISSUERTITLE
0001746059-20-000099	1	AV Seals Labor Group, LLC	Charles Webber	Owner and Founder
0001665160-20-000288	1	Solutions Vending International, Inc.	Dawn Dickson	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001796828-20-000003	1	3204 Lyons Avenue LLC	Christopher Senegal	President/CEO
0001807883-20-000001	1	Black Hammer Brewing LLC	Kevin Jackey	Managing Partner
0001665160-20-000285	1	Vand Labs Inc.	Koustubh Parulekar	CEO, Principal Executive Officer and Director, President, Principal Financial Officer and Principal Accounting Officer
0001665160-20-000283	1	Currency Tracking Technologies LLC	Keith F. Duffy	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer
0001783580-20-000005	1	Ember Fund Inc	Alex Wang	Chief Executive Officer, Director
0001746059-20-000097	1	WanderLinger Brewing Company, LLC	Christopher Dial	Owner and CoFounder
0001769091-20-000002	1	Buff Bake, Inc.	Chris Bernard	CEO, Director and Chairman of the Board
0001807812-20-000001	1	Livie & Luca, LLC	Amie Garcia	Co-Owner
0001670254-20-000218	1	Sniffy Labs Inc.	Howard Shyng	Co-Founder & President
0001769091-20-000001	1	Rocket Dollar Inc	Todayashi Henry Yoshida	Director, Chief Executive Officer
0001745548-20-000001	1	K POP Foods, Inc.	Theodore Lee	Co-founder & CEO
0001665160-20-000282	1	Rayton Solar Inc.	Andrew Yakub	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001778787-20-000001	1	Hidrent, Inc.	David Heimbuch	Founder / CEO
0001665160-20-000280	1	Solutions International Vending	Dawn Dickson	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-20-000278	1	Life Imaging Fla, Inc.	J. Thomas Graham	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001807941-20-000001	1	Global Wordsmiths LLC	Mary Jayne McCullough	Owner
0001807984-20-000004	1	All EBT Corp	Elijah Calderon Morin	CEO, Director
0001807984-20-000003	1	All ebt Foundation	Elijah Calderon Morin	CEO, Director
