ACCESSION_NUMBER	ISAMENDMENT	PROGRESSUPDATE	NATUREOFAMENDMENT	NAMEOFISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	ISSUERWEBSITE	COMPANYNAME	ISCOISSUER	COMMISSIONCIK	COMMISSIONFILENUMBER	CRDNUMBER
0001213900-22-036336	0			Beaver Gold Corp.	Corporation		NV	2021-02-24	Four Embarcadero Center	Suite 1400	San Francisco	CA	94111	www.beavergold.com	Internal server error. CIK may be invalid.	N	0001685995	007-00083	286035
0001104659-22-076282	0			STARTENGINE CROWDFUNDING, INC.	Corporation		DE	2014-03-19	3900 W ALAMEDA AVE.	SUITE 1200	BURBANK	CA	91505	www.startengine.com		N			
0001893044-22-000004	0		Adding completed 2021 financials	Undesert Corp	Corporation		DE	2021-10-18	3283 WALNUT STREET	APT B	LOS ALAMOS	NM	87544	www.undesert.com	Fundify Portal, LLC	Y	0001788777	007-00216	306519
0001665160-22-001957	0			Revel Energy, Inc.	Corporation		DE	2017-10-09	2323 Main St.		Irvine	CA	92614	https://revel-energy.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-001955	0			Asserta Health, Inc.	Corporation		DE	2014-09-05	10421 South Jordan Gateway Suite 560		South Jordan	UT	84095	https://assertahealth.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001669191-22-000689	0		the issuer has extended the offering deadline.	Artificial Intelligence Economic Development Corporation	Corporation		DE	2017-05-01	6242 Warner Avenue	Suite 7-F	Huntington Beach	CA	92647	www.Aiedc.com	NetCapital Funding Portal Inc.	N	0001669191	007-00035	283596
0001746059-22-000253	0			Soturi Fitness & Nutrition LLC	Limited Liability Company		CA	2017-01-07	1267 CHAPEL DR		SANTA CLARA	CA	95050	https://forestandflour.com/	MainVest, Inc.	N	0001746059	007-00162	
0001932355-22-000001	0			Yadav Events & Food Services, LLC	Limited Liability Company		AZ	2019-01-02	1303 W JUNIPER AVE., #3314		GILBERT	AZ	85233	https://mrmomoaz.com/	SMBX, Inc.	N	0001707214	007-00129	290186
0001665160-22-001952	0	At the close of the offering, the issuer closed on $453,869.23 and 342,297 number of securities.		Smart Tire Recycling, Inc.	Corporation		PA	2016-08-12	4131 STANLEY ST.		PITTSBURGH	PA	15207	https://www.smarttirerecycling.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-001951	0	At the close of the offering, the issuer closed on $117459.92 and 117,732 number of securities.		SMARTfit, Inc.	Corporation		CA	2013-05-16	20 N. AVIADOR ST UNIT C	UNIT C	CAMARILLO	CA	93010	https://www.smartfitinc.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-001950	0	At the close of the offering, the issuer closed on $500,493.04 and 306,427 number of securities.		Return Home, Inc.	Corporation		WA	2020-02-12	4146 B PL NW		AUBURN	WA	98001	https://www.returnhome.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-001949	0	At the close of the offering, the issuer closed on $38,734.44 and 30,039 number of securities.		California Labs, Inc.	Corporation		DE	2014-03-07	1540 MARKET ST	SUITE 150	SAN FRANCISCO	CA	94102	http://www.joinloop.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-001948	0	At the close of the offering, the issuer closed on $1,149,558.80 and 1,896,636 number of securities.		AWOL OUTDOORS, INC.	Corporation		WI	2009-07-15	7640 WASHINGTON AVENUE SOUTH	PLEASE UPDATE THIS VALUE	EDEN PRAIRIE	MN	55344	www.camp365.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-001947	1		Issuer is extending campaign end date.	Waverly Labs Inc	Corporation		DE	2014-06-16	19 MORRIS AVENUE		BROOKLYN	NY	11205	waverlylabs.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-001946	0			AWOL OUTDOORS, INC.															
0001665160-22-001945	0	At the close of the offering, the issuer closed on $1,149,558.80 and 1,896,636 number of securities.		AWOL OUTDOORS, INC.	Corporation		WI	2009-07-15	7640 WASHINGTON AVENUE SOUTH	PLEASE UPDATE THIS VALUE	EDEN PRAIRIE	MN	55344	www.camp365.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001885116-22-000001	0			Broken Clock Brewing Cooperative	Other	Cooperative	MN	2015-09-08	3134 CALIFORNIA STREET NE#122		MINNEAPOLIS	MN	55418	https://www.brokenclockbrew.com/	Silicon Prairie Online LLC	N	0001711770	007-00123	289746
0001665160-22-001944	0	At the close of the offering, the issuer closed on $51,794 and 123,426 number of securities.		EPR-Technologies, Inc.	Corporation		AZ	2006-06-13	23041 WILD HUNT DRIVE		GAITHERSBURG	MD	20882	https://www.epr-technologies.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
