ACCESSION_NUMBER	ID	ISSUER	ISSUERSIGNATURE	ISSUERTITLE
0001213900-22-036336	1	Beaver Gold Corp.	/s/ Dr. Scott Jobin-Bevans	Chief Executive Officer, Chief Geologist, and Director
0001104659-22-076282	1	STARTENGINE CROWDFUNDING, INC.	/s/ Howard Marks	CEO
0001893044-22-000004	1	Undesert Corp	NICHOLAS SEET	CEO
0001665160-22-001957	1	Revel Energy, Inc.	Alan H. Lee	CEO, Chairman of Board
0001665160-22-001955	1	Asserta Health, Inc.	Korb Matosich	CEO and Director
0001669191-22-000689	1	Artificial Intelligence Economic Development Corporation	Leonard S.   Johnson Ph.D. student	Principal Executive Officer
0001746059-22-000253	1	Soturi Fitness & Nutrition LLC	Yu Ling Mark Davis	Owner and Founder
0001932355-22-000001	1	Yadav Events & Food Services, LLC	Subash Yadav	Owner
0001665160-22-001952	1	Smart Tire Recycling, Inc.	Betzalel M. Mendel Bassman	President & CEO
0001665160-22-001951	1	SMARTfit, Inc.	Cathi Lamberti	Chief Executive Officer, Chairperson of the board of directors, and founder of SMARTfit
0001665160-22-001950	1	Return Home, Inc.	Micah Truman	CEO and Director
0001665160-22-001949	1	California Labs, Inc.	Brian Gannon	CEO and Principal Financial Officer
0001665160-22-001948	1	AWOL OUTDOORS, INC.	Kevin McGregor	CEO
0001665160-22-001947	1	Waverly Labs Inc	George Andrew Ochoa	Chief Executive Officer, Director, Chairman
0001665160-22-001946	1	AWOL OUTDOORS, INC.	Kevin McGregor	CEO
0001665160-22-001945	1	AWOL OUTDOORS, INC.	Brian Gannon	CEO and Principal Financial Officer
0001885116-22-000001	1	Broken Clock Brewing Cooperative	/s/ Jeremy Mathison	Operations Manager
0001665160-22-001944	1	EPR-Technologies, Inc.	Lyn Yaffe, M.D.	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001665160-22-001943	1	HestiaNYC Corp	Craig Watson	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001665160-22-001941	1	Shark Wheel, Inc.	Zack Fleishman	CEO, Secretary and Director
0001665160-22-001940	1	Keto5, Inc.	Dr. Michael Wool, MD	CEO and Director
0001666102-22-000013	1	Tai Chi Yoga, LLC	John C Neubauer	Founder & CEO
0001934754-22-000002	1	Glammeupgirl, LLC	Ashley Bonds	CEO
0001934754-22-000001	1	Bread is Good LLC	Sarah Dodge	President
0001665160-22-001937	1	Fast Penny Spirits, Inc	Jamie Hunt	CEO, President, Secretary, Treasurer, Director, and principal accounting officer.
0001665160-22-001934	1	Galexahomes, Inc.	Chuck Ardezzone	CEO/Director
0001820949-22-000001	1	Real McCoy Tea Co	Christopher J. McCoy	Founder/CEO/Director
0001670254-22-000700	1	Fourplay Social Inc.	Julie Griggs	Co-Founder of Fourplay Social
0001670254-22-000702	1	Kountable, Inc.	Christopher Hale	CEO
0001670254-22-000698	1	Audio Idea Labs Inc.	Amit Kukreja	CEO
0001821982-22-000007	1	Grain Dealers Brewery, LLC	Wesley T. Johnson	CEO
0001665160-22-001931	1	ORBIS Brakes, Inc.	Marcus Hays	co-CEO, Director, and Chief Technology Officer
0001934895-22-000001	1	Zeleno, LLC	Alexander Gotzev	Owner
0001665160-22-001929	1	Zirconia Inc.	Benjamin Cook	CEO and President
0001746059-22-000252	1	Evoke Inc	Cleon Byron	Owner and CEO
0001665160-22-001928	1	TruSo Inc.	Matthew Newman	Founder, Chairman & Chief Executive Officer
0001665160-22-001927	1	Puro Trader, Inc	Pierre Rogers	CEO
0001665160-22-001926	1	HyperSciences, Inc.	Mark C. Russell	CEO (Chief Executive Officer) and Director
0001665160-22-001923	1	Sparo.IO Corporation	Rob Sobhani	CEO, President, Secretary, and Treasurer
0001934621-22-000001	1	TOOLBOX, LLC	Iva Gotzev	Owner
0001932175-22-000001	1	Proxy Foods LLC	Christopher Bailey	Owner
0001665160-22-001921	1	Brigade Automation Corporation, Inc	Thomas Burns	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-22-001919	1	Geoji, Inc.	John Paul Poehlmann	CEO
0001665160-22-001918	1	Geoship SPC	Morgan Bierschenk	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer of Geoship SPC
0001665160-22-001916	1	Parallel Flight Technologies, Inc.	Joshua Resnick	CEO, CTO, President and Director
0001669191-22-000687	1	CliqRex Inc.	James  O'Loughlin	Principal Executive Officer
0001934595-22-000001	1	Arepa Zone LLC	Gabriela Febres	Owner
0001665160-22-001915	1	Flying Ship Technologies, Corp.	William C. Peterson	CEO and Director
0001920756-22-000001	1	Modern Picnic, Inc.	Alexandra Kaminetsky	Chief Executive Officer
0001742162-22-000003	1	Consumer Cooperative Group Inc	Tanen Andrews	Founder/CEO
0001665160-22-001914	1	Evren Technologies, Inc.	Weaver Gaines	CEO and Chairman of the Board of Directors
0001665160-22-001913	1	Daxbot Inc.	Jason Richards	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-22-001910	1	Whooshh Innovations Inc.	Vincent Bryan III	CEO, Principal Executive Officer and Director
0001665160-22-001908	1	Sun50, LLC	Christie Covarrubias	Co-Founder, CEO and Chairman of the Board
0001924883-22-000004	1	Israeli Prepaid LLC	Uri Goldenberg	CEO/Manager
0001746059-22-000251	1	Storyville Catering Co LLC	Robert King	Owner and CEO
0001421744-22-000004	1	Cytonics Corp	Gaetano Scuderi	Founder & Chairman of the Board
0001665160-22-001907	1	TargaZyme, Inc	Lynnet Koh	Executive Chairman and CEO
0001746059-22-000250	1	DMDirt, LLC	Christopher Place	Owner and Founder
0001746059-22-000249	1	B-side the Tracks Brewing Co.	Thomas Johnson	Owner and CoFounder
0001665160-22-001904	1	SciTech Development L.L.C.	Earl T. Holsapple, III	CEO, President, Manager and Co-founder
0001746059-22-000248	1	SHOKi Beverages Corp	Tiffany Yarde	Owner and CEO
0001746059-22-000247	1	DORAGON PROVISIONS, INC	Alan MacIntosh	Owner and Founder
0001746059-22-000246	1	Happy Flower LLC	Robinson Joachin	Owner and CoFounder
0001746059-22-000245	1	8Eleven Hospitality Group, Inc	Fathia Jones	Owner and Founder
0001669191-22-000685	1	Gobekli Inc.	Daniel Done	Principal Executive Officer
