ACCESSION_NUMBER	ID	ISSUER	ISSUERSIGNATURE	ISSUERTITLE
0001665160-21-001768	1	ThrillSeeker Media Group, Inc.	Cody Alfar	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001823177-21-000007	1	Million Marker Wellness, Inc.	Jenna Hua	CEO
0001665160-21-001766	1	Joulez Inc	Micah Bergdale	CEO/Director
0001746059-21-000483	1	PATOIS LLC	Sharon Russell	Owner and CoFounder
0001670254-21-001101	1	Token Metrics Inc.	Ian Balina	Chief Executive Officer
0001665160-21-001764	1	2124 Brewing Company LLC	Ryan Bove	CEO, Principal Financial Officer, and Manager
0001670254-21-001099	1	Nicolette, Inc.	Phil Martie	CEO
0001665160-21-001763	1	Skeptic Distillery Co.	Karl Loepke	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001759	1	Travelmate Robotics Inc.	Maximillian David Kovtun	President/Director
0001665160-21-001760	1	Karl Loepke	Karl Loepke	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001670254-21-001096	1	Hotels By Day, LLC	Yannis Moati	CEO
0001665160-21-001754	1	GenesisAI Corporation	Archil Cheishvili	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001751	1	Song Solutions, Inc.	Todd Wright	Co-CEO, Director, Principal Financial Officer and Principal Accounting Officer
0001669191-21-000985	1	GZI HUB, INC.	Sean Adler	Principal Executive Officer
0001665160-21-001749	1	RIGHTSURE, INC.	Ronald Jeffery Arnold	President, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001747	1	ADV3NTURE, INC.	Zane Lamprey	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001746059-21-000482	1	Blue Earth Pizza Co LLC	John Fredericks	Owner and Founder
0001665160-21-001743	1	Purjeena, Inc.	Shakti Jauhar	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001740	1	Satellite Displays Inc.	Michael Williston	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001739	1	Deuce Drone, Inc.	Rhett Ross	CEO, Principal Executive Officer and Director, Principal Financial Officer, and Principal Accounting Officer
0001665160-21-001729	1	ADV3NTURE, INC.	Zane Lamprey	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001670254-21-001093	1	Relevant Entertainment LLC	Vicki O'Brien	CEO/Producer
0001665160-21-001733	1	Deuce Drone LLC	Rhett Ross	Principal Executive Officer
0001665160-21-001735	1	SMART TIRE RECYCLING, INC.	Mendel Bassman	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001670254-21-001092	1	I Got It Holdings Corp.	Joseph De Perio	Co-Founder/Executive Chairman of the Board
0001670254-21-001089	1	Parlay, Inc.	Don Mastrangelo	Founder | CEO
0001669191-21-000980	1	Revohloo, Inc.	Glen DeBarros	Principal Executive Officer
0001665160-21-001728	1	6D BYTES INC.	Vipin Jain	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001746059-21-000481	1	Caribe Soul LLC	Hazel Lebron	Owner and Founder
0001665160-21-001726	1	GenesisAI Corp	Archil Cheishvili	CEO
0001665160-21-001725	1	Greenberry's Coffee Roasters, Inc.	Sean Simmons	President, CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001805743-21-000004	1	Goodwolf Feeding Co	/s/ Joseph Keenan Smith	Owner, CEO
0001683168-21-004587	1	Zenloc LLC	/s/ Barry Schofield	Founder and Manager
0001669191-21-000977	1	FirstRoot, Inc.	Luke Hohmann	Principal Executive Officer
0001669191-21-000975	1	Berylline Corporation	Dennis  Dresser	Principal Executive Officer
0001669191-21-000973	1	HighSchoolResponder LLC	Barbara A Grimm	Principal Executive Officer
0001746059-21-000480	1	MH Cinemas, LLC	Joshua Cannon	Owner and COO
0001665160-21-001723	1	Remuv Technologies, Inc.	Braden Reiber	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001669191-21-000971	1	Talla Inc.	Francis Speiser	Principal Executive Officer
0001665160-21-001722	1	6d bytes inc.	Vipin Jain	CEO, Principal Executive Officer and Director, Principal Financials Officer, and Principal Accounting Officer.
0001665160-21-001721	1	Mycocycle, Inc.	Joanne Rodriguez	CEO, Principal Executive Officer and Director, President ,Principal Financial Officer, Principal Accounting Officer, Secretary and Treasurer
0001665160-21-001719	1	Aphelion Aerospace, Inc.	Miguel Ayala	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
