ACCESSION_NUMBER	ISAMENDMENT	PROGRESSUPDATE	NATUREOFAMENDMENT	NAMEOFISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	ISSUERWEBSITE	COMPANYNAME	ISCOISSUER	COMMISSIONCIK	COMMISSIONFILENUMBER	CRDNUMBER
0001665160-21-001768	0			ThrillSeeker Media Group, Inc.	Corporation		DE	2021-07-21	44 W Flagler St, Ste 600		Miami	FL	33130	https://thrillseeker.media/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001823177-21-000007	1		Filing amendment to extend the offering deadline, to disclose updated financial and issued securities information, and to extend eligibility for the $9M early bird valuation cap provision to the first $215,000 of crowd note investments.	Million Marker Wellness, Inc.	Corporation		DE	2019-05-10	1710 Arlington Blvd		El Cerrito	CA	94530	www.millionmarker.com	MicroVenture Marketplace Inc.	N	0001478147	008-68458	152513
0001665160-21-001766	0			Joulez Inc	Corporation		SD	2021-05-24	1100 Grand Concourse #1L		Bronx	NY	10456	drivejoulez.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001746059-21-000483	0			PATOIS LLC	Limited Liability Company		CA	2019-09-01	PO BOX 460915		SAN FRANCISCO	CA	94146	http://WWW.EATREDS.COM	MainVest, Inc.	N	0001746059	007-00162	
0001670254-21-001101	0		Issuer updated their pricing plan for core products	Token Metrics Inc.	Corporation		DE	2018-10-19	7600 Chevy Chase Drive	Suite 300	Austin	TX	78752	https://www.tokenmetrics.com	Wefunder Portal LLC	Y	0001670254	007-00033	283503
0001665160-21-001764	0			2124 Brewing Company LLC	Limited Liability Company		PA	2012-04-18	8321 Ohio River Boulevard		Emsworth	PA	15202	https://aurochsbrewing.com/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001670254-21-001099	0			Nicolette, Inc.	Corporation		DE	2016-10-01	100 W Broadway		Long Beach	CA	90802	http://nicolette.com	Wefunder Portal LLC	Y	0001670254	007-00033	283503
0001665160-21-001763	0			Skeptic Distillery Co.	Corporation		IL	2014-10-12	2525 W Le Moyne St.		Melrose Park	IL	60160	https://www.skepticdistillery.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-21-001759	0			Travelmate Robotics Inc.															
0001665160-21-001760	0			Skeptic Distillery Co.	Corporation		IL	2014-10-12	2525 W Le Moyne St.		Melrose Park	IL	60160	https://www.skepticdistillery.com		N			
0001670254-21-001096	0			Hotels By Day, LLC	Limited Liability Company		NY	2014-07-07	64 Beaver Street		New York	NY	10004	http://www.hotelsbyday.com		N			
0001665160-21-001754	0			GenesisAI Corporation	Corporation		DE	2018-07-03	201 SE, 2nd Avenue		Miami	FL	33131	https://www.genesisai.io/	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-21-001751	0			Song Solutions, Inc.	Corporation		DE	2018-10-19	2061 Middle Street Suite 215		Sullivans Island	SC	29482	songsplits.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001669191-21-000985	0			GZI HUB, INC.	Corporation		DE	2019-09-04	55 M St. NE	APT 112	Washington	DC	20002	https://gzihub.com/	NetCapital Funding Portal Inc.	N	0001669191	007-00035	283596
0001665160-21-001749	0			RIGHTSURE, INC.	Corporation		AZ	1990-07-20	5151 E Broadway Boulevard		Tucson	AZ	85711	https://www.rightsure.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-21-001747	0		Update to Investment incentives before live	ADV3NTURE, INC.	Corporation		DE	2017-12-08	6003 Phinney Ave N		Seattle	WA	98103	adv3nture.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001746059-21-000482	0			Blue Earth Pizza Co LLC	Limited Liability Company		SC	2021-06-30	2123 GREENE ST		COLUMBIA	SC	29205	Www.Bluepizzasc.com	MainVest, Inc.	N	0001746059	007-00162	
0001665160-21-001743	0			Purjeena, Inc.	Corporation		DE	2018-10-17	6 Mount Holly Dr.		Rye	NY	10580	mechanismwellness.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-21-001740	0			Satellite Displays Inc.	Corporation		DE	2018-02-26	480 Ocean Avenue Unit 6K		Long Branch	NJ	07740	satellitedisplay.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-21-001739	0			Deuce Drone, Inc.	Corporation		DE	2019-10-14	358 St. Louis Street		Mobile	AL	36602	https://www.deucedrone.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-21-001729	0			ADV3NTURE, INC.	Corporation		DE	2017-12-08	6003 Phinney Ave N		Seattle	WA	98103	adv3nture.com	StartEngine Capital, LLC	N	0001665160	007-00007	
