ACCESSION_NUMBER	ID	PERSONSIGNATURE	PERSONTITLE	SIGNATUREDATE
0001213900-22-036336	4	/s/ William Hunter	Director	2022-06-30
0001213900-22-036336	1	/s/ Dr. Scott Jobin-Bevans	Chief Executive Officer, Chief Geologist, and Director	2022-06-30
0001213900-22-036336	3	/s/ Robin Ross	Director	2022-06-30
0001213900-22-036336	2	/s/ Sean Zubick	Director	2022-06-30
0001104659-22-076282	1	/s/ Howard Marks	CEO	2022-06-30
0001893044-22-000004	1	NICHOLAS SEET	CEO	2022-06-30
0001665160-22-001957	1	Alan H. Lee	CEO, Chairman of Board	2022-06-30
0001665160-22-001955	2	Nicole Oishi	Chief Experience Officer	2022-06-30
0001665160-22-001955	3	David Hersom	Director	2022-06-30
0001665160-22-001955	4	Lisa Behnke	Director	2022-06-30
0001665160-22-001955	1	Korb Matosich	CEO and Director	2022-06-30
0001669191-22-000689	5	Dr. Alexander  Nawrocki Ph.D.	Board Member	2022-06-30
0001669191-22-000689	4	Leonard S.   Johnson Ph.D. student	Board Member	2022-06-30
0001669191-22-000689	3	Leonard S.   Johnson Ph.D. student	Principal Accounting Officer	2022-06-30
0001669191-22-000689	2	Leonard S.   Johnson Ph.D. student	Principal Financial Officer	2022-06-30
0001669191-22-000689	1	Leonard S.   Johnson Ph.D. student	Principal Executive Officer	2022-06-30
0001746059-22-000253	1	Yu Ling Mark Davis	Owner and Founder	2022-06-30
0001932355-22-000001	1	Subash Yadav	Owner	2022-06-30
0001665160-22-001952	1	Betzalel M. Mendel Bassman	President & CEO	2022-06-30
0001665160-22-001952	2	Raymond Riek	Board Member	2022-06-30
0001665160-22-001951	1	Cathi Lamberti	Chief Executive Officer, Chairperson of the board of directors, and founder of SMARTfit	2022-06-30
0001665160-22-001950	1	Micah Truman	CEO and Director	2022-06-30
0001665160-22-001949	1	Brian Gannon	CEO and Principal Financial Officer	2022-06-30
0001665160-22-001949	2	Brad O'Neil	Director	2022-06-30
0001665160-22-001948	1	Kevin McGregor	CEO	2022-06-30
0001665160-22-001947	1	George Andrew Ochoa	Chief Executive Officer, Director, Chairman	2022-06-30
0001665160-22-001946	1	Kevin McGregor	CEO	2022-06-30
0001665160-22-001945	1	Brian Gannon	CEO and Principal Financial Officer	2022-06-30
0001665160-22-001945	2	Brad O'Neil	Director	2022-06-30
0001885116-22-000001	1	/s/ Jeremy Mathison	Operations Manager	2022-06-30
0001665160-22-001944	1	Lyn Yaffe, M.D.	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2022-06-30
0001665160-22-001944	2	Thomas Hardiman	Executive Vice President and Member of the Board of Directors	2022-06-30
0001665160-22-001944	3	Brad Stezoski	Member of the Board of Directors	2022-06-30
0001665160-22-001943	1	Craig Watson	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2022-06-30
0001665160-22-001941	1	Zack Fleishman	CEO, Secretary and Director	2022-06-29
0001665160-22-001941	2	David Patrick	CTO and Director	2022-06-29
0001665160-22-001940	2	Stephen Drimmer	Chief Operating Officer and Director	2022-06-30
0001665160-22-001940	1	Dr. Michael Wool, MD	CEO and Director	2022-06-30
0001666102-22-000013	1	John C Neubauer	Founder & CEO	2022-06-29
0001934754-22-000002	1	Ashley Bonds	CEO	2022-06-23
0001934754-22-000001	1	Sarah Dodge	President	2022-06-30
